Name,monsterID,level,ME_Born,ME_Update,ME_AttackGo,ME_SkillGO,ME_Deadth,Addedvalue,PT_HpMax,PT_MpMax,PT_Attack,PT_Defense,PT_Agile,PT_Spirit,PT_Reply,PT_Magicattack,PT_Magicdefense,PT_Hit,PT_Dodge,PT_Crit,PT_counterpunch,PT_NoSleep,PT_NoPetrifaction,PT_NoDrunk,PT_NoChaos,PT_NoForget,PT_NoPoison,PT_Assassinate,DropID
10009,1090,50,"AI_guid_zhoushu_born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_guid_zhoushu_born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,110009
10010,20,1,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,110010
10011,20,20,"robot_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","robot_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,
90001,901,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,10000,,,,,,,,,,,,,,,,,,,,
90002,902,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,10000,,,,,,,,,,,,,,,,,,,
90003,903,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,5000,,,,,,,1000,,,,,,,,,,,
90004,904,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,5000,,,,,,,,,,,,,,,,,
90005,905,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,,5000,,,,,,,,,,,,,,,,
90006,906,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,,,5000,,,,,,,,,,,,,,,
90007,907,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,,,,5000,,,,,,,,,,,,,,
90008,908,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,,,,,5000,,,,,,,,,,,,,
90009,909,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,,,,,,5000,,,,,,,,,,,,
90010,910,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,,,,,,,5000,,,,,,,,,,,
90011,911,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,,,,,,,,5000,,,,,,,,,,
90012,912,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,,,,,,,,,5000,,,,,,,,,
90013,913,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,,,,,,,,,,5000,,,,,,,,
90014,914,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,,,,,,,,,,,10000,,,,,,,
90015,915,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,,,,,,,,,,,,10000,,,,,,
90016,916,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,,,,,,,,,,,,,9999,,,,,
90017,917,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,,,,,,,,,,,,,,9999,,,,
90018,918,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,,,,,,,,,,,,,,,9999,,,
90019,919,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,,,,,,,,,,,,,,,,9999,,
90020,920,3,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,,,,,,,,,,,,,,,,,,,,9999,
1,20,1,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,-20,,-20,,,,,320,,,,,,,,,,,,,100001
2,4,2,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,-20,,-20,,,,,320,,,,,,,,,,,,,100002
3,24,2,"DaodanGui_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","DaodanGui_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"DaodanGui_Deadth(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,-1.3,60,-10,,,,,320,,,,,,100,100,100,100,100,100,,100003
4,9,5,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,1000,300,,,,,,320,,,,,,,,,,,,,100004
5,6,5,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,-30,150,-8,,,,,320,,,,,,,,,,,,,100005
6,97,9,"NiuTouGuai_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","NiuTouGuai_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"NiuTouGuai_deadth(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,88.4,270,-30,,,,,320,,,,,,100,100,100,100,100,100,,100006
7,10024,9,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,-30,,,-50,,,,320,,,,,,,,,,,,,100007
8,44,14,"JiangShiShiYanTi_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","JiangShiShiYanTi_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"JiangShiShiYanTi_deadth(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,262.6,420,,,,,,320,,,,,,100,100,100,100,100,100,,100008
9,26,10,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,-30,300,-20,-70,,,,320,,,,,,,,,,,,,100009
10,50112,15,"YinYing_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","YinYing_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"YinYing_deadth(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,100,450,,,,,,10,,,,,,100,100,100,100,100,100,,100010
11,28,15,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,-50,450,,,,,,320,,,,,,,,,,,,,100011
12,29,16,"ZhaDanMo_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","ZhaDanMo_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"ZhaDanMo_deadth(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,500,480,,,,,,60,,,,,,100,100,100,100,100,100,,100012
13,30,16,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,-50,480,,,,,,320,,,,,,,,,,,,,100013
14,31,17,"ShiRenMoAoZi_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","ShiRenMoAoZi_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"ShiRenMoAoZi_deadth(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,300,510,-30,,,,,320,,,,,,100,100,100,100,100,100,,100014
15,3,17,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,-50,510,,,,,,320,,,,,,,,,,,,,100015
16,32,18,"ShiRenMoShouLingLuoKe_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","ShiRenMoShouLingLuoKe_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"ShiRenMoShouLingLuoKe_deadth(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,400,540,,,,,,320,,,,,30,100,100,100,100,100,100,,100016
17,5,18,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,-50,540,,-30,,,,320,,,,,,,,,,,,,100017
18,33,19,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,-50,570,,-30,,,,320,,,,,,,,,,,,,100018
19,27,19,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,0,570,,,,,,320,,,,,,,,,,,,,100019
20,17,20,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,0,600,,,,,,320,,,,,,,,,,,,,100020
21,34,20,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,0,600,,,,,,320,,,,,,,,,,,,,100021
22,10074,21,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,0,630,,,,,,320,,,,,,,,,,,,,100022
23,45,21,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,0,630,,,,,,320,,,,,,,,,,,,,100023
24,1000,22,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,0,660,,,,,,320,,,,,,,,,,,,,100024
25,6,22,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,0,660,,,,,,320,,,,,,,,,,,,,100025
26,46,23,"EMoShiRenHua_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","EMoShiRenHua_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"EMoShiRenHua_deadth(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,2645.5,690,30,30,100,60,,320,,,,,,100,100,100,100,100,100,,100026
27,1000,23,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,0,690,,,,,,320,,,,,,,,,,,,,100027
28,48,24,"JuXiong_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","JuXiong_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"JuXiong_deadth(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,2683.2,720,40,40,100,,,320,,,,,,100,100,100,100,100,100,,100028
29,49,24,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,0,720,,,,,,320,,,,,,,,,,,,,100029
30,50,25,"JuRenBaLuoSi_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","JuRenBaLuoSi_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"JuRenBaLuoSi_deadth(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,2245.1,750,50,50,100,,200,320,,,,,,100,100,100,100,100,100,,100030
31,51,25,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,0,750,,,,,,320,,,,,,,,,,,,,100031
32,52,26,"CiKeAYi_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","CiKeAYi_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"CiKeAYi_deadth(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",1,2000,780,50,50,100,,,320,,,,,,100,100,100,100,100,100,20,100032
