NpcId,PosX,PosZ,PosY,RotY,AssetID,NpcName,NpcQuest,NpcTalk,BabySkillLearn,UIAssetsId,QuestID,Transfer,NpcType,SceneID,OpenLv,
530,11.8017,-12.4037,0,203.2364,135,石魔像 克鲁特,,1030,,,119,,NT_Normal,206,,
531,4.74148,70.3987,0,176.6089,43,沙巨龙 奥马尔吉特,,1031,,,121,,NT_Normal,40,,
532,10.8836,-11.4132,0,157.1016,221,蜥蜴人之王 康诺,,1032,,,127,,NT_Normal,306,,
533,14.16,-4.25,0,125.3575,6,大猫熊 鲁特,,1033,,,132,,NT_Normal,5,,
534,-0.05,-7.12,0,185.9007,131,军阀 皮尼斯,,1034,,,135,,NT_Normal,5,,
535,-6.701,-0.405,0,5.946569,153,千年雪妖,,1035,,,141,,NT_Normal,107,,
536,1.49,-10.12,0,30.49398,70,银龙 艾薇达,,1036,,,146,,NT_Normal,207,,
537,6.91,-21.29,0,121.4331,73,冰狼 加内特,,1037,,,150,,NT_Normal,5,,
538,-7.849,-18.95,0,147.9072,78,恶魔使徒 洛尔丹,,1038,,,153,,NT_Normal,5,,
539,-23.01,-11.36,0,180.9064,96,千年冰晶树魔,,1039,,,159,,NT_Normal,5,,
540,10.591,5.893,0,13.41606,129,白恶魔 吉拉斯,,1040,,,165,,NT_Normal,108,,
541,25.25,8.03,0,8.577961,196,死灵法师 科托,,1041,,,169,,NT_Normal,208,,
542,-0.02,-7.63,0,2.594485,200,黑暗魔君 巴里克,,1042,,,175,,NT_Normal,208,,
543,-4.714,4.6,0,-13.10226,49,盗匪首领,,1043,,,10012;10013;10014;10015,,NT_Normal,2,,
600,0.01618143,10.43465,0,0,377,封印守卫,,70040,,,,,NT_Normal,540,,
601,0.01618143,10.43465,0,0,375,先祖守卫,,70041,,,,,NT_Normal,541,,
602,0.01618143,10.43465,0,0,226,先祖无畏,,70042,,,,,NT_Normal,542,,
603,0.01618143,10.43465,0,0,262,先祖勇气,,70043,,,,,NT_Normal,543,,
604,0.01618143,10.43465,0,0,193,先祖智慧,,70044,,,,,NT_Normal,544,,
605,0.01618143,10.43465,0,0,241,先祖公平,,70045,,,,,NT_Normal,545,,
606,0.01618143,10.43465,0,0,120,先祖善良,,70046,,,,,NT_Normal,546,,
607,0.01618143,10.43465,0,0,374,先祖之魂,,70047,,,,,NT_Normal,547,,
608,0.01618143,10.43465,0,0,127,魔影先锋,,70048,,,,,NT_Normal,548,,
609,0.01618143,10.43465,0,0,201,魔影骑士,,70049,,,,,NT_Normal,549,,
610,0.01618143,10.43465,0,0,131,魔影领主,,70050,,,,,NT_Normal,550,,
611,0.01618143,10.43465,0,0,372,漆黑之影,,70051,,,,,NT_Normal,551,,
1000,-0.37,15.087,0.0695,-176.1728,36,国王 克里斯,,3000,,,10005,,,,0,
1001,0,0,0,0,28,日常任务负责人,,3001,,,,,,,,
1002,-44.972,-13.266,0,95.77954,28,日常任务负责人,20001;20002;20003;20004;20005;20006;20007;20008;20009;20010;20011;20012;20013;20014;20015;20016;20017;20018;20019;20020;20021;20022;20023;20024;20025;20026;20027;20028;20029;20030;20031;20032;20033;20034;20035;20036;20037;20038;20039;20040;20041;20042;20043;20044;20045;20046;20047;20048;20049;20050;20051;20052;20053;20054;20055;20056;20057;20058;20059;20060;20061;20062;20063;20064;20065;20066;20067;20068;20069;20070,3001,,,,,NT_Normal,1,,
1101,-44.972,-11.365,0,95.77954,131,通缉任务负责人,30000,3005,,,,,NT_Normal,1,,
1102,0,0,0,0,238,通缉任务负责人,,3005,,,,,,,,
1103,17.8128,-7.32886,0,163.8187,52,英雄公会会长,35;51;54;40000;40001;40002;40003;40004;40005;40006;40007;40008;40009;40010;40011;40012;40013;40014;40015;40016;40017;40018;40019;40020;40021,3022,,,,,NT_Normal,30,,
1104,9.876,1.537,0,168.495,7,宠物训练师,,5002,4026;4030;4034;4038;4042;4046;4050;4058;4066;4074;4082;4090;4098;4106;4114;4118;4122;4126;4130;4134;4142;4002;4006;4010;4014;4018,UIASSETS__BabySkillLearning,,3;1104,NT_Normal,30,20,
1105,4.082,4.321,0,152.0587,7,宠物训练师,,5002,4027;4031;4035;4039;4043;4047;4115;4119;4123;4127;4131;4135;4143;4003;4007;4011;4015;4019;4052;4060;4068;4076;4084;4092;4100;4108,UIASSETS__BabySkillLearning,,4;1105,NT_Normal,4,40,
1106,-7.38,0.81,0,171.7184,7,宠物训练师,,5002,4028;4032;4036;4040;4044;4048;4116;4120;4124;4128;4132;4136;4144;4004;4008;4012;4016;4020;4055;4063;4071;4079;4087;4095;4103;4111,UIASSETS__BabySkillLearning,,5;1106,NT_Normal,5,60,
1107,1.975,6.826,0,-116.2627,39,老英雄 佩普,10008;60011;60012,5015,,,,,NT_Normal,999,,
1108,-14.87,38.143,0,-175.0727,201,骑士长 迈尔斯,,5036,,,,,NT_Normal,4,,
1109,6,-2.088,0,117.158,214,铁僧 霍华德,10009;60013;60014;60015;60016,5037,,,,,NT_Normal,999,,
1110,4.918,-3.525,0,117.158,212,毒巫 莫尔林,10010;60017;60018,5038,,,,,NT_Normal,999,,
1111,-18.08,1.86,0,146.2964,39,老英雄 佩普,10111;10112;10113;10114;10115;10116;10117;10119;10120;10121;90010,5015,,,,,NT_Normal,5,,
1112,14.43,-13.91,0,149.744,231,森林战场传送员,,5040,,,,,NT_Normal,30,,
1113,15.79,-14.44,0,152.1996,224,雪地战场传送员,,5041,,,,,NT_Normal,30,,
1201,0,0,0,0,58,大蘑菇,,3009,,,,,,,20,
1202,0,0,0,0,58,大蘑菇,,3009,,,,,,,20,
1203,0,0,0,0,58,大蘑菇,,3009,,,,,,,20,
1204,0,0,0,0,58,大蘑菇,,3009,,,,,,,20,
1205,0,0,0,0,58,大蘑菇,,3009,,,,,,,20,
1206,0,0,0,0,58,大蘑菇,,3009,,,,,,,20,
1207,0,0,0,0,58,大蘑菇,,3009,,,,,,,20,
1208,0,0,0,0,58,大蘑菇,,3009,,,,,,,20,
1209,0,0,0,0,58,大蘑菇,,3009,,,,,,,20,
1210,0,0,0,0,58,大蘑菇,,3009,,,,,,,20,
1211,0,0,0,0,58,大蘑菇,,3009,,,,,,,20,
1212,0,0,0,0,58,大蘑菇,,3009,,,,,,,20,
1213,0,0,0,0,58,大蘑菇,,3009,,,,,,,20,
1214,0,0,0,0,58,大蘑菇,,3009,,,,,,,20,
1215,0,0,0,0,58,大蘑菇,,3009,,,,,,,20,
1301,0,0,0,0,80,喽啰,,3010,,,,,,,20,
1302,0,0,0,0,80,喽啰,,3010,,,,,,,20,
1303,0,0,0,0,80,喽啰,,3010,,,,,,,20,
1304,0,0,0,0,80,喽啰,,3010,,,,,,,20,
1305,0,0,0,0,80,喽啰,,3010,,,,,,,20,
1306,0,0,0,0,80,喽啰,,3010,,,,,,,20,
1307,0,0,0,0,80,喽啰,,3010,,,,,,,20,
1308,0,0,0,0,3,精英,,3011,,,,,,,20,
1309,0,0,0,0,3,精英,,3011,,,,,,,20,
1310,0,0,0,0,3,精英,,3011,,,,,,,20,
1311,0,0,0,0,3,精英,,3011,,,,,,,20,
1312,0,0,0,0,3,精英,,3011,,,,,,,20,
1313,0,0,0,0,3,精英,,3011,,,,,,,20,
1314,0,0,0,0,83,BOSS,,3012,,,,,,,20,
1315,0,0,0,0,80,喽啰,,3010,,,,,,,20,
1500,0.15,-2.77,0,0,255,实验室宝箱,,6000,,,13,,NT_Caiji1,102,,
1501,0.98,-1.73,0,0,255,实验室宝箱,,6000,,,13,,NT_Caiji1,102,,
1502,-1.11,-1.95,0,0,255,实验室宝箱,,6000,,,13,,NT_Caiji1,102,,
1503,9.18,3.14,0,0,254,实验室矿脉,,6001,,,15,,NT_Caiji1,102,,
1504,7.47,3.28,0,0,254,实验室矿脉,,6001,,,15,,NT_Caiji1,102,,
1505,8.29,1.73,0,0,254,实验室矿脉,,6001,,,15,,NT_Caiji1,102,,
1506,-4.31011,-11.7357,0,-155.6583,250,水鼠草,,6002,,,34,,NT_Caiji1,6,,
1507,-3.4812,-11.0689,0,-155.6583,250,水鼠草,,6002,,,34,,NT_Caiji1,6,,
1508,-4.05753,-10.1073,0,-155.6583,250,水鼠草,,6002,,,34,,NT_Caiji1,6,,
1509,-1.54,-8.52,0,0,253,紫衫树,,6003,,,40,,NT_Caiji1,30,,
1510,-2.88,-8.34,0,0,253,紫衫树,,6003,,,40,,NT_Caiji1,30,,
1511,-2.618,-7.213,0,0,253,紫衫树,,6003,,,40,,NT_Caiji1,30,,
1512,-6.85,-14.04,0,160.4583,254,魔晶矿脉,,6001,,,52,,NT_Caiji1,103,,
1513,-4.92,-13.37,0,135.4277,254,魔晶矿脉,,6001,,,52,,NT_Caiji1,103,,
1514,-5.717,-14.492,0,148.0701,254,魔晶矿脉,,6001,,,52,,NT_Caiji1,103,,
1515,-12.09,30.44,0,169.1,254,精铁矿脉,,6001,,,76,,NT_Caiji1,4,,
1516,-13.31,29.39,0,166.9159,254,精铁矿脉,,6001,,,76,,NT_Caiji1,4,,
1517,-11.47,28.7,0,153.8216,254,精铁矿脉,,6001,,,76,,NT_Caiji1,4,,
1518,12.31,-3.44,0,122.5277,255,邪教宝箱,,6000,,,83,,NT_Caiji1,104,,
1519,11.63,1.04,0,124.1223,255,邪教宝箱,,6000,,,83,,NT_Caiji1,104,,
1520,8.78,-2.28,0,129.7002,255,邪教宝箱,,6000,,,83,,NT_Caiji1,104,,
1521,10.7,61.61,0,135.2592,252,沙海草,,6004,,,93,,NT_Caiji1,40,,
1522,9.1,61.9,0,157.858,252,沙海草,,6004,,,93,,NT_Caiji1,40,,
1523,10.2,60.1,0,136.0342,252,沙海草,,6004,,,93,,NT_Caiji1,40,,
1524,10.83,-13.04,0,180.5277,253,千年古树,,6003,,,112,,NT_Caiji1,106,,
1525,9.79,-11.74,0,178.152,253,千年古树,,6003,,,112,,NT_Caiji1,106,,
1526,12.43,-12.43,0,165.6908,253,千年古树,,6003,,,112,,NT_Caiji1,106,,
1527,1.582,14.85,0,174.9369,254,秘银矿脉,,6001,,,134,,NT_Caiji1,5,,
1528,0.229,13.832,0,182.8828,254,秘银矿脉,,6001,,,134,,NT_Caiji1,5,,
1529,1.484,12.725,0,177.7691,254,秘银矿脉,,6001,,,134,,NT_Caiji1,5,,
2000,0,0,0,0,201,骑士,,,,,,,,,,
2001,0,0,0,0,214,武僧,,,,,,,,,,
2002,0,0,0,0,198,咒术师,,,,,,,,,,
2003,0,0,0,0,356,牧师,,,,,,,,,,
2004,0,0,0,0,224,刺客,,,,,,,,,,
2005,0,0,0,0,358,法师,,,,,,,,,,
2006,0,0,0,0,359,猎人,,,,,,,,,,
2007,0,0,0,0,361,佣兵,,,,,,,,,,
2008,0,0,0,0,2,巫师,,,,,,,,,,
3001,-1.88,1.44,0,156.7,126,骷髅勇士 安德列斯,,50001,,,60003,,NT_Normal,30,,
3002,-2.25,7.32,0,180.1,133,魔像 瓦特,,50002,,,60006,,NT_Normal,30,,
3003,2.41,7.42,0,163.5,20,恐惧之箱 巴奇亚,,50003,,,60010,,NT_Normal,30,,
3005,0.27,-5.46,,,239,火元素,,130064,,,10006,,NT_Normal,30,,
3006,-0.49,1.77,,,241,水元素,,130065,,,60007,,NT_Normal,30,,
3007,9.56,5.5,,,242,地元素,,130066,,,60008,,NT_Normal,30,,
3008,-1.28,-13.88,,,240,风元素,,130067,,,60009,,NT_Normal,30,,
3010,-1.56,6.28,,,124,残暴,,130069,,,10008,,NT_Normal,30,,
3011,9.16,-13.19,,,127,邪恶,,130070,,,60011,,NT_Normal,30,,
3012,-2.69,-8.15,,,126,暴虐,,130071,,,60012,,NT_Normal,30,,
3013,2.22,17.05,,,135,初级实验体,,130072,,,10010,,NT_Normal,30,,
3014,-0.93,20.55,,,134,中级实验体,,130073,,,60017,,NT_Normal,30,,
3015,0.32,18.77,,,136,高级实验体,,130074,,,60018,,NT_Normal,30,,
3101,-4.02,-4.58,0,157.4,95,千年古树妖,,51001,,,10100;10101;10102;10103;10104;10105;10106;10108;10109;10110,,NT_Normal,30,,
4001,16.31,-8.86,0,154.2,77,巨人 安德罗,,40001,,,20010,,NT_Normal,30,,
4002,8.495,2.105,0,194.0325,78,伦纳斯恶魔,,40002,,,20020;50033,,NT_Normal,30,,
4003,5.431,0.497,0,170.4046,133,魔像 巴鲁比,,40003,,,20030,,NT_Normal,4,,
4004,-6.172,4.704,0,176.9837,175,死亡恶熊 西路,,40004,,,20040,,NT_Normal,4,,
4005,-9.67,4.4,0,162.9399,126,骷髅王 克莱伯,,40005,,,20050,,NT_Normal,5,,
4006,0,0,0,0,153,雪域妖魔,,40006,,,,,,,,
4007,0,0,0,0,130,红恶魔 萨鲁,,40007,,,,,,,,
4008,0,0,0,0,162,盗王之王 卡特,,40008,,,,,,,,
4009,0,0,0,0,71,远古黑龙王 克格尔斯托,,40009,,,,,,,,
4010,1.85,20.47,0,0,220,流窜的怪物,,130200,,,51146,,NT_Normal,30,,
4011,7.15,7.2,0,0,180,流窜的怪物,,130201,,,51147,,NT_Normal,30,,
4012,8.793,-15.397,0,0,145,流窜的怪物,,130202,,,51148,,NT_Normal,30,,
4013,-6.91,-7.41,0,0,264,流窜的怪物,,130203,,,51149,,NT_Normal,30,,
4014,18.54,-9.22,0,0,241,流窜的怪物,,130204,,,51150,,NT_Normal,30,,
4015,9.45,-14.36,0,0,144,流窜的怪物,,130205,,,51151,,NT_Normal,30,,
4016,13.75,-7.4,0,0,147,流窜的怪物,,130206,,,51152,,NT_Normal,30,,
4017,15.69,-3.75,0,0,109,流窜的怪物,,130207,,,51153,,NT_Normal,30,,
4018,1.85,20.47,0,0,95,流窜的怪物,,130208,,,51154,,NT_Normal,30,,
4019,7.15,7.2,0,0,175,流窜的怪物,,130209,,,51155,,NT_Normal,30,,
4020,8.793,-15.397,0,0,220,流窜的怪物,,130210,,,51156,,NT_Normal,30,,
4021,-6.91,-7.41,0,0,118,流窜的怪物,,130211,,,51157,,NT_Normal,30,,
4022,18.54,-9.22,0,0,262,流窜的怪物,,130212,,,51158,,NT_Normal,30,,
4023,9.45,-14.36,0,0,176,流窜的怪物,,130213,,,51159,,NT_Normal,30,,
4024,13.75,-7.4,0,0,235,流窜的怪物,,130214,,,51160,,NT_Normal,30,,
4025,15.69,-3.75,0,0,236,流窜的怪物,,130215,,,51161,,NT_Normal,30,,
4026,1.85,20.47,0,0,216,流窜的怪物,,130216,,,51162,,NT_Normal,30,,
4027,7.15,7.2,0,0,27,流窜的怪物,,130217,,,51163,,NT_Normal,30,,
4028,8.793,-15.397,0,0,167,流窜的怪物,,130218,,,51164,,NT_Normal,30,,
4029,-6.91,-7.41,0,0,61,流窜的怪物,,130219,,,51165,,NT_Normal,30,,
4030,18.54,-9.22,0,0,112,流窜的怪物,,130220,,,51166,,NT_Normal,30,,
4031,9.45,-14.36,0,0,215,流窜的怪物,,130221,,,51167,,NT_Normal,30,,
4032,13.75,-7.4,0,0,265,流窜的怪物,,130222,,,51168,,NT_Normal,30,,
4033,15.69,-3.75,0,0,74,流窜的怪物,,130223,,,51169,,NT_Normal,30,,
4034,1.85,20.47,0,0,170,流窜的怪物,,130224,,,51170,,NT_Normal,30,,
4035,7.15,7.2,0,0,240,流窜的怪物,,130225,,,51171,,NT_Normal,30,,
4036,8.793,-15.397,0,0,173,流窜的怪物,,130226,,,51172,,NT_Normal,30,,
4037,-6.91,-7.41,0,0,152,流窜的怪物,,130227,,,51173,,NT_Normal,30,,
4038,18.54,-9.22,0,0,61,流窜的怪物,,130228,,,51174,,NT_Normal,30,,
4039,9.45,-14.36,0,0,188,流窜的怪物,,130229,,,51175,,NT_Normal,30,,
4040,13.75,-7.4,0,0,184,流窜的怪物,,130230,,,51176,,NT_Normal,30,,
4041,15.69,-3.75,0,0,112,流窜的怪物,,130231,,,51177,,NT_Normal,30,,
4042,1.85,20.47,0,0,21,流窜的怪物,,130232,,,51178,,NT_Normal,30,,
4043,7.15,7.2,0,0,98,流窜的怪物,,130233,,,51179,,NT_Normal,30,,
4044,8.793,-15.397,0,0,118,流窜的怪物,,130234,,,51180,,NT_Normal,30,,
4045,-6.91,-7.41,0,0,88,流窜的怪物,,130235,,,51181,,NT_Normal,30,,
4046,18.54,-9.22,0,0,172,流窜的怪物,,130236,,,51182,,NT_Normal,30,,
4047,9.45,-14.36,0,0,125,流窜的怪物,,130237,,,51183,,NT_Normal,30,,
4048,13.75,-7.4,0,0,222,流窜的怪物,,130238,,,51184,,NT_Normal,30,,
4049,15.69,-3.75,0,0,140,流窜的怪物,,130239,,,51185,,NT_Normal,30,,
4050,1.85,20.47,0,0,82,流窜的怪物,,130240,,,51186,,NT_Normal,30,,
4051,7.15,7.2,0,0,160,流窜的怪物,,130241,,,51187,,NT_Normal,30,,
4052,8.793,-15.397,0,0,93,流窜的怪物,,130242,,,51188,,NT_Normal,30,,
