KEY,CH,EN
EN_InTeam,"你已经在队伍里",""
EN_TeamIsFull,"队伍已经满员",""
EN_TeamPassword,"家族战未开启",""
EN_EmployeeIsFull,"伙伴数量到达上限",""
EN_ItemMushroom,"你采到了一个蘑菇，获得金币1000",""
EN_BadMushroom,"这是一个毒蘑菇，减少生命值和魔法值50%",""
EN_NoTeamNoTongji,"没有队伍不可接取任务",""
EN_TeamSizeTongjiError,"队伍人数不足",""
EN_AcceptQuestBagMax,"背包位置不足，清理背包后继续任务",""
EN_SubmitQuestBagMax,"背包位置不足，清理背包后继续任务",""
EN_BagFull,"背包满了",""
EN_GuildNameSame,"家族名字重复",""
EN_PlayerGoldLess,"玩家金钱不够",""
EN_PlayerHasGuild,"玩家已有家族",""
EN_InRequestErr,"已申请过",""
EN_RequestListFull,"家族申请列表已满",""
EN_joinGuildRequestOk,"申请进入家族成功",""
EN_JoinOtherGuild,"对方已经加入家族",""
EN_PremierQuitError,"帮主不能退帮",""
EN_CommandPositionLess,"没有权限",""
EN_PositionUpMax,"该职位满员时不能晋升",""
EN_FilterWord,"你输入的文字不符合规范",""
EN_TeamMemberLeaving,"当前有队员暂离不能匹配",""
EN_NoTeam,"队伍不存在",""
EN_NoSubSyste,"对方功能未开启",""
inlaygem,"镶嵌宝石",""
hundredMax,"不可挑战此层数",""
gathermoney,"每次消耗",""
gathertime,"每{n}秒采一次",""
paiming,"您未进入排名",""
paimingnum,"第{n}名",""
gaimingtishi,"你输入的文字不符合规范",""
mimaJia,"密码不符合规范",""
employesslevelup,"伙伴技能升级成功",""
ChallengeNum,"挑战次数不足",""
CannotExchangeReward,"没有奖品兑换",""
QC_White,"",""
QC_Green,"",""
QC_Blue,"",""
QC_Blue1,"+1",""
QC_Purple,"",""
QC_Purple1,"+1",""
QC_Purple2,"+2",""
QC_Golden,"",""
QC_Golden1,"+1",""
QC_Golden2,"+2",""
QC_Orange,"",""
QC_Orange1,"+1",""
QC_Orange2,"+2",""
QC_Pink,"",""
buyitemopenbag,"使用道具 {n} 可以扩展背包请去商场购买",""
tishiDuiwu,"是否返回主场景",""
lingquchengong,"领取成功",""
yilingqu,"已领取",""
bagfull,"背包已满",""
makeOk,"制造成功!",""
subQuset,"支线",""
mainQuset,"主线",""
defaultTextName,"请输入队伍名称",""
defaultTextPassword,"请输入密码",""
tirentishi,"是否将此人踢出队伍",""
duizhangtishi,"是否将此人升为队长",""
tuichutishi,"是否退出队伍",""
messageTichu,"您已被队长请出了队伍",""
likaifangjian,"离开了队伍",""
duizhang,"成为队长",""
CK_World,"世界",""
CK_System,"系统",""
CK_Team,"队伍",""
CK_Guild,"家族",""
teamMessage,"当前没有队伍",""
tuiduiMessage,"是否退出队伍",""
gonghui,"当前没有家族",""
hundredMax,"不可挑战",""
chongwuxude,"您的宠物已习得{n} 技能",""
wuxude,"您已习得{n} 技能",""
chengjiu,"您完成了{n} 成就",""
playerjingyan,"您获得了{n} 经验",""
chongwujingyan,"您的宠物获得了{n} 经验",""
chongwushengji,"您的宠物升到{n} 级",""
shanchubaby,"您的宠物{n}已放生",""
costqian,"您消耗了{n}金币",""
hanhuatishi,"当前队伍已不存在",""
costzuanshi,"您消耗了{n}钻石",""
costmolibi,"您消耗了{n}水晶",""
huodemolibi,"您获得了{n}水晶",""
hundredMax,"不可挑战",""
dengjitishi,"您当前等级不在范围内",""
yijianhanhua,"目标{n}队伍({n1}级-{n2}级)[url={t1},{t2}][fb4141]点击进入[-]",""
chatmin,"[url={t1},{t2},{t3}][29fff2]{t4}[-]",""
wupinzhanshi,"[url={t1},{t2}][{t4}]{t3}[-]",""
OSSF_Skill,"zjm_jineng",""
OSSF_Baby,"zjm_chongwu",""
OSSF_Friend,"zjm_haoyou",""
OSSF_EmployeeGet,"zjm_huoban",""
OSSF_EmployeeList,"zjm_huoban",""
OSSF_EmployeePosition,"zjm_huoban",""
OSSF_EmployeeEquip,"zjm_huoban",""
OSSF_Bar,"jinengxueyuan",""
OSSF_Castle,"zjm_huodong",""
OSSF_Make,"zhizao","",
OSSF_Achieve,"chengjiu",""
OSSF_JJC,"jingjichang",""
OSSF_PVPJJC,"jingjichang",""			
OSSF_Hundred,"bairendaochang",""	
OSSF_Activity,"zjm_huodong",""
OSSF_Handbook,"tujian",""
OSSF_EveryTask,"zjm_huodong","" 
OSSF_Rank,"paihang",""
OSSF_Setting,"zjm_shezhi",""
OSSF_Shop,"zjm_shouchong2",""
OSSF_DoubleExp,"shuangbeikai",""
OSSF_Family,"jiazu",""
OSSF_AuctionHouse,"shanghui",""
OSSF_BabyLeranSkill,"zjm_chongwu",""
OSSF_MagicItem,"zjm_shenqi",""
OSSF_Guid,"zhiying",""
OSSF_choujiang,"zjm_chouj",""
OSSF_Cystal,"shuijing",""
shengweiduizhang,"您已被升为队长",""
QK_Profession,"职业",""
QK_Main,"主线",""
QK_Tongji,"通缉",""
QK_Sub,"支线",""
QK_Sub1,"活动",""
QK_Daily,"日常",""
QK_Copy,"副本",""
QK_Rand,"悬赏",""
QK_Wishing,"许愿",""
QK_Guild,"家族",""
teamopen,"队长可开启!",""
bunengbuzhuo,"不能通过捕捉获得",""
teamlevelpvp,"队员等级必须都大于30级",""
forgetskill,"是否遗忘该技能?",""
resetMatching"是否重新匹配",""
teamnopve,"组队中不可进入",""
huodejinbi,"您获得了{n}金币",""
huodezuanshi,"您获得了{n}钻石",""
samehuoban,"相同伙伴不可上阵",""
TT_None,"无任务目标",""
TT_MainQuest_10,"10级主线",""
TT_MainQuest_20,"20级主线",""
TT_MainQuest_30,"30级主线",""
TT_MainQuest_40,"40级主线",""
TT_MainQuest_50,"50级主线",""
TT_MainQuest_60,"60级主线",""
TT_TongjiQuest,"通缉任务",""
TT_CaoMoGu,"采蘑菇活动",""
TT_GongCheng,"怪物攻城活动",""
TT_Zhanchang,"野外战场",""
TT_Pet,"宠物神殿",""
TT_Daochang,"百人道场",""
TT_Hero,"英雄传",""
TT_MainQuest,"主线",""
TT_JJC,"竞技场",""
TT_ShuaGuai,"野外刷怪",""
role,"主角",""
baobao,"宠物",""
MT_CaiKuang,"caiji_icon_icon",""
MT_ShouLie,"bulie_icon_icon",""
MT_Famu,"famu_icon_icon",""
caiji1,"采矿",""
caiji2,"伐木",""
PleaseWaiting,"敬请期待",""
1,"成员",""
2,"精英",""
3,"长老",""
4,"副族长",""
5,"族长",""
cantsell,"不可出售",""
cancelSelling,"要取消寄售吗？",""
noprofession,"职业不符",""
bagfullsort,"背包满了是否整理",""
IST_Axe,"斧子",""
IST_Sword,"剑",""
IST_Spear,"枪",""
IST_Bow,"弓",""
IST_Stick,"杖",""
IST_Knife,"小刀",""
IST_V,"回力标",""
IST_Hat,"帽子",""
IST_Helmet,"头盔",""
IST_Clothes,"衣服",""
IST_Robe,"袍",""
IST_Armor,"铠甲",""
IST_Boot,"靴子",""
IST_Shoes,"鞋",""
IST_Shield,"盾牌",""
IST_Crystal,"水晶",""
IST_Charm,"护身符",""
IST_Earrings,"耳环",""
IST_Bracelet,"手环",""
IST_Ring,"戒指",""
IST_Necklace,"项链",""
IST_Headband,"头带",""
IST_Instruments,"乐器",""
IST_Consumables,"消耗品",""
IST_Gem,"宝石",""
IST_Material,"材料",""
EN_MallBuyFailBagFull,"背包已满",""
EN_MallBuyFailBabyFull,"无法携带更多宠物，购买失败",""
EN_MallBuyFailDiamondLess,"货币不足",""
EN_MallBuyFailSelled,"商品信息已过期，请刷新",""
EN_MallBuyOk,"购买成功",""
EN_BagFull,"背包已满"
shangzhen,"上阵",""
yishangzhen,"已上阵",""
meiyouweizhi,"没有上阵位置",""
jinnengweikaiqi,"技能栏未开启,升星后可以开启新技能栏",""
jinnengweikaiqi,"技能栏未开启",""
ActivityOpen,"{0}活动开始了,去看看？",""
jinnengweikaiqi,"技能栏未开启",""
EN_BabyFull,"宠物已满",""
NextLevlDesc,"下一等级展示",""
arenarecordwininfo,"你获胜了,排名上升至{n}名",""
arenarecordfailfinfo,"你失败了,排名下降至{n}名",""
arenarecordfailno,"你失败了,排名不变",""
NextLevlDesc,"下一等级展示",""
TransProfTips,"做完这个任务后职业会发生改变.对应的技能和可装备等级将会按照新职业计算.转职后将删除新职业不能学习的技能.是否确定接取这个任务？",""
EN_OpenBaoXiangBagFull,"背包位置不足，请清理背包",""
EN_OpenBaoXiangLevel,"等级不足",""
EN_NoBattleBaby,"没有出战宠物！",""
EN_BattleBabyCannotRelease,"出战宠物不能放生",""
EN_DontTalk,"不要刷屏，请5秒后再发送消息",""
EN_DoubleExpTimeNULL,"不在双倍时间内"
CollectionFull,"收藏夹已满",""
CollectionSucc,"收藏成功",""
CollectionSame,"该商品已经收藏，不能重复收藏",""
NoGoodSelected,"未选择商品",""
CostDiamondTip,"是否花费{0}钻石购买{1}道具？",""
BattleReportReceiving,"接收战报中...请耐心等待",""
EN_DiamondLess,"钻石不足",""
YouHadQuest,"你身上有这个任务",""
YouHadComplateQuest,"你身上有这个任务,并且已经完成",""
YouNeedDoThisQuest,"你需要做完任务",""
YouCanntAcceptQuest,"你目前不能接受这个任务",""
jieguhuoban,"解雇伙伴不能恢复，伙伴身上的装备也将消失。解雇可以获得{n}佣兵之心,确定则选中的全部解雇"
yijianjieguhuoban,"一键解雇蓝色品质及蓝色品质以下的伙伴解雇可以获得{n}佣兵之心,是否确定?"
opendoubletime,"开启双倍经验后击杀怪物后获得的经验和技能经验加倍"
clostdoubletime,"关闭双倍经验后击杀怪物后获得的经验和技能经验正常"
shangzhenyiman,"可上阵伙伴已满"
guagua,"恭喜您获得",""
guanguaNum,"个",""
guaguaend,"奖励",""
huobanjinjie,"进阶后人物属性增加{n}%",""
huobanshengxing,"升星后人物属性提升{n}",""
xuezejiegu,"请选择需要解雇的伙伴"
notOpen,"暂未",""
limitOpen,"完成{0}{1}后开启",""
sellMax,"可出售列表已满"
babySkillChuansong,"等级{n}以上可以学习",""
duanwei1,"青铜Ⅲ",""
duanwei2,"青铜Ⅱ",""
duanwei3,"青铜Ⅰ",""
duanwei4,"白银Ⅲ",""
duanwei5,"白银Ⅱ",""
duanwei6,"白银Ⅰ",""
duanwei7,"黄金Ⅲ",""
duanwei8,"黄金Ⅱ",""
duanwei9,"黄金Ⅰ",""
duanwei10,"钻石Ⅲ",""
duanwei11,"钻石Ⅱ",""
duanwei12,"钻石Ⅰ",""
duanwei13,"传奇Ⅲ",""
duanwei14,"传奇Ⅱ",""
duanwei15,"传奇Ⅰ",""
useHpBuff,"生命值存储增加了100000",""
useMpBuff,"魔法值存储增加了100000",""
delmailreword,"请先领取奖励",""
notEnoughMana,"魔法值不足",""
notEnoughHealth,"生命值不足",""
notCorrectWeaponType,"武器类型不符",""
isPassitiveSkill,"这是个被动技能",""
chatVeTime,"录音时间小于1秒",""
gongnengweikaiqi,"功能未开启",""
shifouhuicheng,"是否回城?",""
babyxiaohao,"需要消耗{n}",""
meiyoudaoju,"您没有宠物还原卷",""
shengxingok,"伙伴升星成功，属性大幅增加",""
jinjieok,"伙伴进阶成功，属性大幅增加",""
onlyLeader,"只有队长才可以遇敌",""
huifuHp,"回复了{n}生命值",""
huifuMp,"回复了{n}魔法值",""
vip2Tovip1,"您已经开启了超级会员，不能开启普通会员",""
vip1Tovip2,"开通超级会员后，普通会员效果将消失，是否确定开启超级会员？",""
alreadyVip1,"您已经是会员",""
alreadyVip2,"您已经是超级会员",""
chengjiuwancheng,"恭喜你完成{n}成就",""
jiaruteamkaishi,"这个队伍正在战斗中",""
jinengjingyan,"{n}获得了{n1}经验",""
EN_GatherTimesLess,"今日采集次数已用完"
EN_GatherLevelLess,"你的等级不能采集这种物品"
GatherHasTimes,"剩余采集次数"
qingxuanzhecaiji,"请选择需要采集的物品",""
cannotCatchThisMonster,"这个怪不能捕捉",""
confirm,"确定",""
cancel,"取消",""
gotosee,"去看看",""
ignore,"忽略",""
dadazhiyegaoji,"已经达到职业可升级最高等级",""
dengjibuzujineng,"角色等级不足,{n}级之后可以继续升级",""
qingxuanzhecaiji,"请选择需要采集的物品",""
gotoWhoAcceptQuest,"请到[info={0}][u][fbf21c]{1}[-][/u][/info]领取",""
onlyLeaderCanOperate,"只有队长才可操作",""
ciwupinyizhuangbei,"此物品已装备",""
caijidengji,"{n}级开启",""
onlyLeaderCanOperate,"只有队长才可操作",""
learnSkillReplice,"这个技能已经学会了！",""
EN_DoubleExpTimeFull,"双倍时间已满！",""
zhaungbeileixingcuowu,"装备类型不符合",""
caijimaicishu,"购买5次采集将消耗20钻石,是否购买?",""
EN_MoneyLess,"金币不足",""
babylevel,"宠物大于玩家等级5级或以上不能出战",""
babygaizao1,"该宠物不能改造",""
babygaizao2,"宠物只有一级时才能改造",""
huanyuanchenggong,"还原成功",""
cankuman,"银行已满",""
zhaohuan,"队长发起召唤是否归队",""
zhengliwancheng,"整理完成",""
caifenok,"拆分成功",""
cannotcaifen,"无法拆分",""
zhaunbgeiOk,"装备成功",""
shushouOk,"出售成功",""
shifouduanzao,"制造需要消耗材料和金币,确定制造吗?",""
shichouxiaohan,"10连抽将消耗{n}钻石,是否进行10连抽?",""
tiaojianbuzhu,"条件不足",""
shifouzhuanhuan,"是否转换",""
zhuanhuanchenggong,"转换成功",""
tupochenggong,"突破成功",""
sqsjchenggong,"升级成功",""
qingtupo,"请先突破",""
qingxuanze,"请选择道具",""
xiaohaoshengji,"确定升级?",""
huanbanEquipok,"伙伴装备制造成功",""
caijiok,"采集成功",""
signOk,"签到成功，奖励请到背包中查看",""
mendOk,"补签成功，奖励请到背包中查看",""
comboSignReward,"奖励领取成功，请到背包中查看",""
caijiok,"采集成功",""
EN_SkillSoltFull,"最多只能学习10个技能",""
yiwangskill,"遗忘技能成功",""
chengjiuWeiwangcheng,"成就未完成",""
skillLevel,"学习这个技能需要等级{n}",""
huoyue,"活跃度不足",""
yaoqingduiyuan,"邀请您加入队伍",""
noybzx,"佣兵之心不足",""
selectZhaunhuan,"请选择需要转换的职业",""
shifouchongzhi,"是否重置?",""
zhuduibuxing,"组队不可战斗",""
renwudaoju,"任务道具不能放入银行",""
EN_BabyStorageFull,"宠物银行已满，不能继续捕捉",""
expItem,"宠物等级大于玩家等级5级不能使用道具",""
EN_AddMoney1W,"恭喜您获得{0}金币",""
EN_AddDionmand100,"恭喜您获得{0}钻石",""
tupochenggong,"突破成功",""
bukeshengjilevel,"神器等级不可高于角色等级",""
EN_AddDionmand600,"恭喜您获得600钻石",""
EN_AddMoney5W,"许愿成功，恭喜您获得经验奖励！",""
EN_AddDionmand500,"许愿成功，恭喜您获得金币奖励！",""
wan,"万",""
EN_DelDefaultSkill,"就职成功，遗忘了新手技能：小试牛刀！",""
haoyouWeikai,"好友功能未开启",""
Duifanghaoyou,"当前对方好友功能未开启",""
duiwuweikai,"队伍功能未开启，请先完成主线恶魔食人花任务",""
Duifangduiwu,"当前对方队伍功能未开启",""
EN_DelDefaultSkill,"就职成功，遗忘了新手技能：小试牛刀！",""
tipsmisoshu,"描述: ",""
EN_BabyFullToStorage,"宠物栏已满，捕捉的宠物自动存入宠物银行",""
EN_DelBaby1000,"失去了宠物：僵尸",""
EN_DelBaby30,"失去了宠物：食人魔",""
EN_DelBaby54,"失去了宠物：水鬼草",""
EN_DelBaby10030,"失去了宠物：血骷髅",""
EN_DelBaby10015,"失去了宠物：噩梦鼠",""
EN_DelBaby10157,"失去了宠物：幻歌妖",""
noMonsterInArea,"该地点没有怪物",""
fixOK,"修理成功",""
fangqiQuest,"放弃任务",""
hechengok,"合成成功",""
yapqingruhui,"{n}要请您加入{n1}家族",""
EN_NoUpSkill,"没有可升级的技能",""
yapqingrudui,"{n}要请您加入队伍",""
EN_NoThisPoint,"这个属性值已经是0，不能再减少了！",""
EN_NotSuperVip,"只有超级VIP才能在商会中购买道具！",""
noTeam,"没有队伍，是否组队？",""
suggestTeamNumber,"建议队伍人数达到5人，是否组队？",""
levelNotEnough,"不能接取任务，玩家{0}等级不够",""
superVIPCanBuy,"超级会员才能购买",""
yaoqingrudui,"邀请入队",""
shenqingrudui,"{n}申请入队",""
yizaiduiwuqong,"已在队伍中",""
levelNotEnough,"不能接取任务，玩家{0}等级不够",""
EN_BabyLevelHigh,"宠物等级超过主角5级，不能继续增加经验！",""
baby_exp500,"出战宠物经验增加了{0}",""
DonotSellBattleBaby,"出战中宠物不能出售",""
DonotSellShowingBaby,"展示中宠物不能出售",""
EN_FirendNotOpen,"这个玩家还没有开启好友功能",""
AlreadyUrFirend,"该玩家已经是您的好友",""
jiesanjiazu,"解散家族",""
shiquchongwu,"失去宠物{n}",""
chongzhidianshu,"使用{n}会重置已分配点数",""
shanchujuese,"删除角色后无法恢复",""
EN_HunderdTier,"您已经挑战过这一层了",""
tioazhancishumei,"挑战次数已用完请重置",""
liliangzhongzi,"力量属性减少，可加属性点+",""
tilizhongzi,"体力属性减少，可加属性点+",""
suduzhongzi,"速度属性减少，可加属性点+",""
qiangduzhongzi,"强度属性减少，可加属性点+",""
mofazhongzi,"魔法属性减少，可加属性点+",""
shuangbeishijian,"双倍时间增加了小时",""
EN_HunderdNoNum,"挑战次数已用完请重置",""
shuangbeishijian,"双倍时间增加了小时",""
EN_Battle,"当前玩家正在战斗",""
liliangzhongzi,"力量属性减少，可加属性点+{0}",""
tilizhongzi,"体力属性减少，可加属性点+{0}",""
suduzhongzi,"速度属性减少，可加属性点+{0}",""
qiangduzhongzi,"强度属性减少，可加属性点+{0}",""
mofazhongzi,"魔法属性减少，可加属性点+{0}",""
shuangbeishijian,"双倍时间增加了{0}小时",""
EN_HunderdNoNum,"挑战次数已用完",""
EN_SkillExperr,"没有可升级的技能了！",""
babyAlreadyLearnedSkill,"该宠物已习得该技能",""
nojiazu,"当前您没在家族中",""
chuzhan,"出战宠物不能放入银行",""
useStorePaper,"使用银行扩充卷，来扩充银行",""
babyLvGreaterThanMy,"宠物等级高于玩家等级5级以上不能出战",""
AuctionHouseClosed,"拍卖行关闭",""
pdengjibuzu,"等级不足,{n}级可学习",""
chongwudengjibuzu,"宠物等级不足",""
zhandouli,"战斗力",""
pingfen,"评分",""
dengji,"等级",""
yongyouzhe,"拥有者",""
jueseming,"角色名",""
huobanming,"伙伴名",""
chongwuming,"宠物名",""
zhiye," 职业",""
chuansong,"回城将暂时离队，是否确定回城",""
IMT_Debris,"碎片",""
jujuerudui,"{n}拒绝归队",""
guiduichenggong,"{n}已归队",""
nodiamondisbuy,"钻石不足,是否充值?",""
frinedonline,"该玩家不在线",""
huiyantishi,"这个宠物已经是S级了,是否继续还原？",""
frinedonline,"该玩家不在线",""
hundredMaxhouxu,"后续关卡敬请期待",""
zaixianarena,"在线竞技场奖励",""
lixianarena,"离线竞技场奖励",""
EN_GetMailItemBagFull,"背包满了",""
zaixianarenaji,"赛季奖励",""
lixianarenari,"每日奖励",""
gxhuodechongwu,"恭喜获得宠物",""
gxhuodehuoban,"恭喜获得伙伴",""
huanyuan,"还原后宠物将变为1级，宠物成长和技能重置，不能恢复，确定还原？",""
bunengjie,"你已经是这个职业了",""
EN_TimeMushroom,"今天已经采了很多蘑菇了，明天再来吧！",""
EN_TongjiTimesMax,"今天的通缉任务已经结束，请明天再来吧！",""
EN_TongjiTeamMemberTimesMax,"队员中有人已经完成了今天所有的通缉任务，请他明天再来吧！",""
EN_TimeXiji,"你已经赶走了很多怪物了，明天再来吧！",""
duiwuweikai,"队伍功能未开启",""
meiyouguaguaka,"刮刮卡已经用完",""
wucishu,"{n}次数已用尽",""
zuanshibuzu,"钻石余额不足",""
jinbibuzu,"金币余额不足",""
goumaicishu,"达到购买次数",""
maxCount4Sell,"最大只能出售{0}件商品",""
inputPrice,"请输入金额",""
IST_None,"杂物",""
IST_Axe,"斧子",""
IST_Sword,"剑",""
IST_Spear,"枪",""
IST_Bow,"弓",""
IST_Stick,"杖",""
IST_Knife,"小刀",""
IST_Hat,"帽子",""
IST_Helmet,"头盔",""
IST_Clothes,"衣服",""
IST_Robe,"袍",""
IST_Armor,"铠甲",""
IST_Boot,"靴子",""
IST_Shoes,"鞋",""
IST_Shield,"盾牌",""
IST_Crystal,"水晶",""
IST_Charm,"护身符",""
IST_Earrings,"耳环",""
IST_Bracelet,"手环",""
IST_Ring,"戒指",""
IST_Necklace,"项链",""
IST_Headband,"头带",""
IST_Instruments,"乐器",""
IST_EquipMax,"",""
IST_Ornament,"",""   
IST_Lottery,"刮刮卡",""
IST_Coupun,"",""
IST_OpenGird,"",""
IST_ConsBegin,"",""
IST_Consumables,"消耗品",""
IST_Blood,"战斗补给品",""
IST_Buff,"存储补给品",""
IST_Gem,"宝石",""
IST_Material,"材料",""
IST_ConsEnd,"",""
IST_ItemDebris,"道具碎片",""
IST_BabyDebris,"宠物碎片","" 
IST_EmployeeDebris,"伙伴碎片",""
IST_Gloves,"拳套",""
IST_BabyExp,"宠物经验",""
IST_SkillExp,"技能经验",""
IST_PVP,"野外碎片",""
IST_EmployeeEquip,"伙伴装备",""
chouxiaohanzs,"将消耗{n}钻石,是否继续?",""
chouxiaohanjq,"将消耗{n}金币,是否继续?",""
EN_PropisNull,"你没有分配属性点，不能使用这个道具",""
EN_Storefull,"银行已经扩充满了",""
Level1fuliName,"梦之家族",""
Level1fuliNeirong,"家族一级开启。野外击杀怪物获得经验+5%",""
Level2fuliName,"财神降临",""
Level2fuliNeirong,"家族二级开启。野外击杀怪物获得金币+5%",""
Level3fuliName,"每日福利",""
Level3fuliNeirong,"家族三级开启。每天会收到来自家族的一个惊喜（随机道具包，每日0点通过邮箱发送）",""
Level4fuliName,"成员扩充",""
Level4fuliNeirong,"家族四级开启。家族最大成员数量+5",""
Level5fuliName,"好运不断",""
Level5fuliNeirong,"家族五级开启。降低被怪物偷袭的概率5%",""
UnOpenIsNothing,"活动已经全部开启了！",""
70001,"为了聂拉维尔！为了聂拉维尔国王！",""
70002,"欢迎来到聂拉维尔王城，国王大人已经您很久了！",""
70003,"初次探险一个人还是有些危险的，本王送你一只宠物吧！是本国的国宝！",""
70004,"       囧",""
70005,"这就是你的第一个宠物了，希望这个国宝能够给你足够的帮助",""
70006,"我是佣兵，我擅长使用斧子！我有强大的单体摧毁能力！",""
70007,"我是猎人，我擅长使用弓箭，我有强大的群体攻击能力！",""
