ID,AssetName,Icon,BindPoint,Zoom,skillhard
168,niaoren_3,niaoren_3_icon,,500,
169,niaoren_4,niaoren_4_icon,,500,
170,wugui_1,wugui_1_icon,,500,
171,wugui_2,wugui_2_icon,,500,
172,gouxiong_1,gouxiong_1_icon,,500,
173,gouxiong_2,gouxiong_2_icon,,500,
174,gouxiong_3,gouxiong_3_icon,,500,
175,gouxiong_4,gouxiong_4_icon,,500,
176,mifeng_1,mifeng_1_icon,,500,
177,mifeng_2,mifeng_2_icon,,500,
178,mifeng_3,mifeng_3_icon,,500,
179,mifeng_4,mifeng_4_icon,,500,
180,pangxie_1,pangxieguai_1_icon,,500,
181,pangxie_2,pangxieguai_2_icon,,500,
182,pangxie_3,pangxieguai_3_icon,,500,
183,shixiangbianfu_1,shixiangbianfu_1_icon,,500,
184,shixiangbianfu_2,shixiangbianfu_2_icon,,500,
185,shixiangbianfu_3,shixiangbianfu_3_icon,,500,
186,shixiangbianfu_4,shixiangbianfu_4_icon,,500,
187,shixiangbianfu_5,shixiangbianfu_5_icon,,500,
188,xiezi,xiezi_icon,,500,
189,xiezi_1,xiezi_1_icon,,500,
190,xiezi_2,xiezi_2_icon,,500,
191,xiezi_3,xiezi_3_icon,,500,
192,youling,youling_icon,,500,
193,youling_1,youling_1_icon,,500,
194,youling_2,youling_2_icon,,500,
195,youling_3,youling_3_icon,,500,
196,ketuo,ketuo_icon,,500,
197,cunzhang2,cunzhang2_icon,,500,
198,boy04_1,boy04_1_icon,,500,
199,boy04_2,boy04_2_icon,,500,
200,boy05_1,boy05_1_icon,,500,
201,boy05_2,boy05_2_icon,,500,
202,boy06_1,boy06_1_icon,,500,
203,boy06_2,boy06_2_icon,,500,
204,boy07_1,boy07_1_icon,,500,
205,boy07_2,boy07_2_icon,,500,
206,girl04_1,girl04_1_icon,,500,
207,girl04_2,girl04_2_icon,,500,
208,girl05_1,girl05_1_icon,,500,
209,girl05_2,girl05_2_icon,,500,
210,girl06_1,girl06_1_icon,,500,
211,girl06_2,girl06_2_icon,,500,
212,girl07_1,girl07_1_icon,,500,
213,girl07_2,girl07_2_icon,,500,
214,boy08,boy08_icon,,500,
215,yilong,yilong_icon,,500,
216,yilong_1,yilong_1_icon,,500,
217,yilong_2,yilong_2_icon,,500,
218,yilong_3,yilong_3_icon,,500,
219,yilong_4,yilong_4_icon,,500,
220,xiyiren,xiyiren_icon,,500,
221,xiyiren_1,xiyiren_1_icon,,500,
222,xiyiren_2,xiyiren_2_icon,,500,
223,xiyiren_3,xiyiren_3_icon,,500,
224,shamocike,shayingcike_icon,,500,
225,tiejiaguai,tiejiaguai_icon,,500,
226,tiejiaguai_1,tiejiaguai_1_icon,,500,
227,tiejiaguai_2,tiejiaguai_2_icon,,500,
228,tiejiaguai_3,tiejiaguai_3_icon,,500,
229,tiejiaguai_4,tiejiaguai_4_icon,,500,
230,tiejiaguai_5,tiejiaguai_5_icon,,500,
231,nanrenzhe,nanrenzhe_icon,,500,
232,nvfashi,nvfashi_icon,,500,
233,tanglang,tanglang_icon,,500,
234,tanglang-1,tanglang-1_icon,,500,
235,tanglang-2,tanglang-2_icon,,500,
236,tanglang-3,tanglang-3_icon,,500,
237,tanglang-4,tanglang-4_icon,,500,
238,xiaochou,xiaochou_icon,,500,
239,yuansu_1,yuansu_1_icon,,500,
240,yuansu_2,yuansu_2_icon,,500,
241,yuansu_3,yuansu_3_icon,,500,
242,yuansu_4,yuansu_4_icon,,500,
243,nvjiangjun,nvjiangjun_icon,,500,
244,shixiang,shixiang_icon,,500,
245,nvyongbing,nvyongbing_icon,,500,
246,nvqishi,nvqishi_icon,,500,
247,anheisenglv,anheisenglv_icon,,500,
248,shiweizhang,shiweizhang_icon,,500,
249,shamoyingxiong,shamoyingxiong_icon,,500,
250,hua01,hua01_icon,,500,
251,hua02,hua02_icon,,500,
252,hua03,hua03_icon,,500,
253,shuzhuang,shuzhuang_icon,,500,
254,kuangshi,kuangshi_icon,,500,
255,xiangzi,xiangzi_icon,,500,
256,nvwuseng,nvwuseng_icon,,500,
257,xiaonvhai,xiaonvhai_icon,,500,
258,duolamutang,duolamutang_icon,,500,
259,xuemo,xuemo_icon,,500,
260,xuemo_1,xuemo_1_icon,,500,
261,xuemo_2,xuemo_2_icon,,500,
262,xuemo_3,xuemo_3_icon,,500,
263,airen,airen_icon,,500,
264,gebulin2_1,gebulin2_1_icon,,500,
265,gebulin2_2,gebulin2_2_icon,,500,
266,gebulin2_3,gebulin2_3_icon,,500,
267,gebulin2_4,gebulin2_4_icon,,500,
268,huolang_boss,huolang_boss_icon,,500,
269,yilong_boss,yilong_boss_icon,,500,
270,jiangshi_boss,jiangshi_boss_icon,,500,
271,kouchougui_boss,kouchougui_boss_icon,,500,
272,laoshu_boss,laoshu_boss_icon,,500,
273,mifeng_boss,mifeng_boss_icon,,500,
274,niaoren_boss,niaoren_boss_icon,,500,
275,shuguai_boss,shuguai_boss_icon,,500,
276,bianfu_boss,bianfu_boss_icon,,500,
277,shixiangbianfu_boss,shixiangbianfu_boss_icon,,500,
278,xiezi_boss,xiezi_boss_icon,,500,
279,zhizhu_boss,zhizhu_boss_icon,,500,
280,boy08_1,boy08_1_icon,,500,
281,boy08_2,boy08_2_icon,,500,
282,nvfashi_1,nvfashi_1_icon,,500,
283,nvfashi_2,nvfashi_2_icon,,500,
284,nvjiangjun_1,nvjiangjun_1_icon,,500,
285,nvjiangjun_2,nvjiangjun_2_icon,,500,
286,nvqishi_1,nvqishi_1_icon,,500,
287,nvqishi_2,nvqishi_2_icon,,500,
288,nvwuseng_1,nvwuseng_1_icon,,500,
289,nvwuseng_2,nvwuseng_2_icon,,500,
290,shamoyingxiong_1,shamoyingxiong_1_icon,,500,
291,shamoyingxiong_2,shamoyingxiong_2_icon,,500,
292,shiweizhang_1,shiweizhang_1_icon,,500,
293,shiweizhang_2,shiweizhang_2_icon,,500,
294,duolamutang,duolamutang_icon,,500,
295,qiuzhang,qiuzhang_icon,,500,
296,xuyuan,qiuzhang_icon,,500,
297,rabbit1,boy_rabbit1_icon,,425,
298,rabbit2,girl_rabbit2_icon,,425,
299,dujiaoshou-1,dujiaoshou-1_icon,,500,
300,dujiaoshou-2,dujiaoshou-2_icon,,500,
301,dujiaoshou-3,dujiaoshou-3_icon,,500,
302,dujiaoshou-4,dujiaoshou-4_icon,,500,
303,nvfashi_3,nvfashi_3_icon,,500,
304,nvfashi_4,nvfashi_4_icon,,500,
305,nvjiangjun_3,nvjiangjun_3_icon,,500,
306,nvjiangjun_4,nvjiangjun_4_icon,,500,
307,nvqishi_3,nvqishi_3_icon,,500,
308,nvqishi_4,nvqishi_4_icon,,500,
309,nvwuseng_3,nvwuseng_3_icon,,500,
310,nvwuseng_4,nvwuseng_4_icon,,500,
311,nanrenzhe_1,nanrenzhe_1_icon,,500,
312,nanrenzhe_2,nanrenzhe_2_icon,,500,
313,shamoyingxiong_3,shamoyingxiong_3_icon,,500,
314,shamoyingxiong_4,shamoyingxiong_4_icon,,500,
315,shiweizhang_3,shiweizhang_3_icon,,500,
316,shiweizhang_4,shiweizhang_4_icon,,500,
317,boy08_3,boy08_3_icon,,500,
318,boy08_4,boy08_4_icon,,500,
319,shitou_1,shitou_1_icon,,500,
320,shitou_2,shitou_2_icon,,500,
321,shitou_3,shitou_3_icon,,500,
322,shitou_4,shitou_4_icon,,500,
323,yanjingshe,yanjingshe_icon,,500,
324,santoulong,santoulong_icon,,500,
325,santoulong1,santoulong1_icon,,500,
326,santoulong2,santoulong2_icon,,500,
327,santoulong3,santoulong3_icon,,500,
328,dujiaoxian,dujiaoxian_icon,,500,
329,dujiaoxian1,dujiaoxian1_icon,,500,
330,dujiaoxian2,dujiaoxian2_icon,,500,
331,dujiaoxian3,dujiaoxian3_icon,,500,
332,guya,guya_icon,,500,
333,guya1,guya1_icon,,500,
334,guya2,guya2_icon,,500,
335,guya3,guya3_icon,,500,
336,jingshi1,jingshi1_icon,,500,
337,jingshi2,jingshi2_icon,,500,
338,jingshi3,jingshi3_icon,,500,
339,haidao1,boy_haidao1_icon,,450,
340,haidao2,girl_haidao2_icon,,425,
341,xixuegui1,qiuzhang_icon,,500,
342,xixuegui2,qiuzhang_icon,,500,
343,hefu1,qiuzhang_icon,,450,
344,hefu2,qiuzhang_icon,,450,
345,long1,qiuzhang_icon,,450,
346,long2,qiuzhang_icon,,450,
347,nangua,nangua_icon,,500,
348,nanguaren,nanguaren_icon,,500,
349,shijiu,shijiu_icon,,500,
350,shijiu_1,shijiu_1_icon,,500,
351,shijiu_2,shijiu_2_icon,,500,
352,shijiu_3,shijiu_3_icon,,500,
353,xihongshi,xihongshi_icon,,500,
354,xueren,xueren_icon,,500,
355,zhaocaimao,zhaocaimao_icon,,500,
356,gaojimushi,gaojimushi_icon,,500,
357,gaojizhoushu,gaojizhoushu_icon,,500,
358,gaojiaoshu,gaojiaoshu_icon,,500,
359,gaojigongshou,gaojigongshou_icon,,500,
360,gaojinvwushen,gaojinvwushen_icon,,500,
361,gaojiyongbing,gaojiyongbing_icon,,500,
362,gaojijiansheng,gaojijiansheng_icon,,500,
363,gaojiqishi,gaojiqishi_icon,,500,
364,gaojicike,gaojicike_icon,,500,
365,gaojinvwu,gaojinvwu_icon,,500,
366,buluodajisi,girl07_2_icon,,500,
367,buluojumin,girl07_2_icon,,500,
368,buluoqiuzhang,girl07_2_icon,,500,
369,buluoshangren,girl07_2_icon,,500,
370,buluotiejiang,girl07_2_icon,,500,
371,buluowushi,girl07_2_icon,,500,
372,qiheimoying,qiheimoying_icon,,500,
373,dilong,dilong_icon,,500,
374,xianzuzhihun,xianzuzhihun_icon,,500,
375,yijishouwei,yijishouwei_icon,,500,
376,jianchihu,jianchihu_icon,,500,
377,fengyinshouwei,fengyinshouwei_icon,,500,
378,jiqiren,jiqiren_icon,,500,
379,jiqirenxiao1,jiqirenxiao1_icon,,500,
380,jiqirenxiao2,jiqirenxiao2_icon,,500,
1001,Axe,,Bip01/Bip01 Pelvis/Bip01 Spine/Bip01 Neck/Bip01 R Clavicle/Bip01 R UpperArm/Bip01 R Forearm/Bip01 R Hand,1,
1002,Sword,,Bip01/Bip01 Pelvis/Bip01 Spine/Bip01 Neck/Bip01 R Clavicle/Bip01 R UpperArm/Bip01 R Forearm/Bip01 R Hand,1,
1003,Spear,,Bip01/Bip01 Pelvis/Bip01 Spine/Bip01 Neck/Bip01 R Clavicle/Bip01 R UpperArm/Bip01 R Forearm/Bip01 R Hand,1,
1004,Bow,,Bip01/Bip01 Pelvis/Bip01 Spine/Bip01 Neck/Bip01 L Clavicle/Bip01 L UpperArm/Bip01 L Forearm/Bip01 L Hand,1,
1005,Stick,,Bip01/Bip01 Pelvis/Bip01 Spine/Bip01 Neck/Bip01 R Clavicle/Bip01 R UpperArm/Bip01 R Forearm/Bip01 R Hand,1,
1006,Pickax,,Bip01/Bip01 Pelvis/Bip01 Spine/Bip01 Neck/Bip01 R Clavicle/Bip01 R UpperArm/Bip01 R Forearm/Bip01 R Hand,1,
1007,Lumberaxe,,Bip01/Bip01 Pelvis/Bip01 Spine/Bip01 Neck/Bip01 R Clavicle/Bip01 R UpperArm/Bip01 R Forearm/Bip01 R Hand,1,
1008,Hoe,,Bip01/Bip01 Pelvis/Bip01 Spine/Bip01 Neck/Bip01 R Clavicle/Bip01 R UpperArm/Bip01 R Forearm/Bip01 R Hand,1,
1009,Axe1,,Bip01/Bip01 Pelvis/Bip01 Spine/Bip01 Neck/Bip01 R Clavicle/Bip01 R UpperArm/Bip01 R Forearm/Bip01 R Hand,1,
1010,Sword1,,Bip01/Bip01 Pelvis/Bip01 Spine/Bip01 Neck/Bip01 R Clavicle/Bip01 R UpperArm/Bip01 R Forearm/Bip01 R Hand,1,
1011,Spear1,,Bip01/Bip01 Pelvis/Bip01 Spine/Bip01 Neck/Bip01 R Clavicle/Bip01 R UpperArm/Bip01 R Forearm/Bip01 R Hand,1,
1012,Bow1,,Bip01/Bip01 Pelvis/Bip01 Spine/Bip01 Neck/Bip01 L Clavicle/Bip01 L UpperArm/Bip01 L Forearm/Bip01 L Hand,1,
1013,Stick1,,Bip01/Bip01 Pelvis/Bip01 Spine/Bip01 Neck/Bip01 R Clavicle/Bip01 R UpperArm/Bip01 R Forearm/Bip01 R Hand,1,
1014,Pickax1,,Bip01/Bip01 Pelvis/Bip01 Spine/Bip01 Neck/Bip01 R Clavicle/Bip01 R UpperArm/Bip01 R Forearm/Bip01 R Hand,1,
1015,Lumberaxe1,,Bip01/Bip01 Pelvis/Bip01 Spine/Bip01 Neck/Bip01 R Clavicle/Bip01 R UpperArm/Bip01 R Forearm/Bip01 R Hand,1,
1016,Hoe1,,Bip01/Bip01 Pelvis/Bip01 Spine/Bip01 Neck/Bip01 R Clavicle/Bip01 R UpperArm/Bip01 R Forearm/Bip01 R Hand,1,
