ID,AtName,Category,type,target,DropID,desc,title
43,技能？,ACH_Growup,AT_HasSkillNum,1,300048,第一次学习技能,
44,学无止尽,ACH_Growup,AT_HasSkillNum,10,300049,学习了10个技能,
45,绝技宝宝,ACH_Pet,AT_BabySkill,3,300050,给一个宠物学习1个技能,
46,爱宠物的人,ACH_Pet,AT_BabySkill,7,300051,给一个宠物学习5个技能,
47,饲养达人,ACH_Pet,AT_BabySkill,10,300052,给一个宠物学习8个技能,85
48,清交素友,ACH_Growup,AT_Friend,1,300053,有1名好友,
49,有情有义,ACH_Growup,AT_Friend,5,300054,有5名好友,
50,胜友如云,ACH_Growup,AT_Friend,20,300055,有20名好友,87
51,第一滴血,ACH_Battle,AT_KillPlayer,1,300064,击败玩家1人,
52,半百,ACH_Growup,AT_KillPlayer,50,300065,击败玩家50人,
53,十人斩,ACH_Battle,AT_KillPlayer,10,300066,击败玩家10人,
54,百人斩,ACH_Battle,AT_KillPlayer,100,300067,击败玩家100人,
55,千人斩,ACH_Battle,AT_KillPlayer,1000,300068,击败玩家1000人,89
56,防御,ACH_Growup,AT_DefenseLevel,200,300072,防御属性达到200点,
57,敏捷,ACH_Growup,AT_AgileLevel,200,300073,敏捷属性达到200点,
58,纯！,ACH_Growup,AT_WearCrystal,1,300074,第一次佩戴一个纯属性的水晶,
59,装备齐全,ACH_Growup,AT_WearAccessories,1,300075,佩戴了两个饰品,
60,采集者,ACH_Growup,AT_CollectMaterial,1,300076,第一次采集材料,
61,伤害制造者,ACH_Battle,AT_TotalDamage,10000,300077,总伤害量达到10000,
62,攻击,ACH_Growup,AT_AttackLevel,200,300078,攻击属性达到200点,
63,打造,ACH_Growup,AT_MakeEquipment,50,300091,制造50个装备,
64,打造专家,ACH_Growup,AT_MakeEquipment,100,300092,制造100个装备,
65,制造术师范！,ACH_Growup,AT_MakeEquipment,500,300093,制造500个装备,94
66,成就！,ACH_Growup,AT_Reward50,50,300094,成就进度达到50,95
67,登录就点,ACH_Growup,AT_Sign,7,300025,累计签到7天,
68,签到送豪礼,ACH_Growup,AT_Sign,30,300028,累计签到30天,
69,请让我先签个到,ACH_Growup,AT_Sign,100,300032,累计签到100天,
70,根本停不下来,ACH_Growup,AT_Sign,365,300033,累计签到365天,
71,初识日常,ACH_Growup,AT_EverydayActivities,100,300079,完成日常任务100次,
72,日常达人,ACH_Growup,AT_EverydayActivities,300,300080,完成日常任务300次,
73,日常专家,ACH_Growup,AT_EverydayActivities,1000,300081,完成日常任务1000次,
74,日常大师,ACH_Growup,AT_EverydayActivities,3000,300082,完成日常任务3000次,
75,初识通缉,ACH_Growup,AT_Wanted,100,300079,完成通缉任务100次,
76,通缉达人,ACH_Growup,AT_Wanted,300,300080,完成通缉任务300次,
77,通缉专家,ACH_Growup,AT_Wanted,1000,300081,完成通缉任务1000次,
78,通缉大师,ACH_Growup,AT_Wanted,3000,300082,完成通缉任务3000次,
79,初识30级副本,ACH_Growup,AT_Copy30,100,300079,完成30级副本任务100次,
80,30级副本达人,ACH_Growup,AT_Copy30,300,300080,完成30级副本任务300次,
81,30级副本专家,ACH_Growup,AT_Copy30,1000,300081,完成30级副本任务1000次,
82,30级副本大师,ACH_Growup,AT_Copy30,3000,300082,完成30级副本任务3000次,
83,初识40级副本,ACH_Growup,AT_Copy40,100,300079,完成40级副本任务100次,
84,40级副本达人,ACH_Growup,AT_Copy40,300,300080,完成40级副本任务300次,
85,40级副本专家,ACH_Growup,AT_Copy40,1000,300081,完成40级副本任务1000次,
86,40级副本大师,ACH_Growup,AT_Copy40,3000,300082,完成40级副本任务3000次,
87,我有钱了,ACH_Growup,AT_EarnConis,100000,300008,身上金币超过10万,
88,小赚一点,ACH_Growup,AT_EarnConis,500000,300022,身上金币超过50万,
89,百万富翁,ACH_Growup,AT_EarnConis,1000000,300079,身上金币超过100万,
90,小富即安,ACH_Growup,AT_EarnConis,3000000,300080,身上金币超过300万,
91,聚宝盆,ACH_Growup,AT_EarnConis,5000000,300081,身上金币超过500万,
92,超级大富翁,ACH_Growup,AT_EarnConis,10000000,300082,身上金币超过1000万,
93,刚到温饱,ACH_Growup,AT_Blood,100000,300040,自动回血量超过10万,
94,奔小康,ACH_Growup,AT_Blood,500000,300040,自动回血量超过50万,
95,生活富足,ACH_Growup,AT_Blood,1000000,300040,自动回血量超过100万,
96,挂机应该够,ACH_Growup,AT_Magic,100000,300040,自动回蓝量超过10万,
97,不怕用技能,ACH_Growup,AT_Magic,500000,300040,自动回蓝量超过50万,
98,挂挂挂,ACH_Growup,AT_Magic,1000000,300040,自动回蓝量超过100万,
99,初识宠物,ACH_Illustrations,AT_CatchPet,3,300018,捕捉过不同的3个宠物,
100,宠物达人,ACH_Illustrations,AT_CatchPet,10,300019,捕捉过不同的10个宠物,
101,宠物专家,ACH_Illustrations,AT_CatchPet,30,300020,捕捉过不同的30个宠物,
102,宠物大师,ACH_Illustrations,AT_CatchPet,100,300095,捕捉过不同的100个宠物,
103,初识野兽系,ACH_Illustrations,AT_PetAnimal,3,300018,捕捉过不同的3个野兽系宠物,
104,野兽系达人,ACH_Illustrations,AT_PetAnimal,5,300019,捕捉过不同的5个野兽系宠物,
105,野兽系专家,ACH_Illustrations,AT_PetAnimal,7,300020,捕捉过不同的7个野兽系宠物,
106,野兽系大师,ACH_Illustrations,AT_PetAnimal,10,300095,捕捉过不同的10个野兽系宠物,
107,初识不死系,ACH_Illustrations,AT_PetUndead,3,300018,捕捉过不同的3个不死系宠物,
108,不死系达人,ACH_Illustrations,AT_PetUndead,5,300019,捕捉过不同的5个不死系宠物,
109,不死系专家,ACH_Illustrations,AT_PetUndead,7,300020,捕捉过不同的7个不死系宠物,
110,不死系大师,ACH_Illustrations,AT_PetUndead,10,300095,捕捉过不同的10个不死系宠物,
111,初识飞行系,ACH_Illustrations,AT_PetFly,3,300018,捕捉过不同的3个飞行系宠物,
112,飞行系达人,ACH_Illustrations,AT_PetFly,5,300019,捕捉过不同的5个飞行系宠物,
113,飞行系专家,ACH_Illustrations,AT_PetFly,7,300020,捕捉过不同的7个飞行系宠物,
114,飞行系大师,ACH_Illustrations,AT_PetFly,10,300095,捕捉过不同的10个飞行系宠物,
115,初识昆虫系,ACH_Illustrations,AT_PetInsect,3,300018,捕捉过不同的3个昆虫系宠物,
116,昆虫系达人,ACH_Illustrations,AT_PetInsect,5,300019,捕捉过不同的5个昆虫系宠物,
117,昆虫系专家,ACH_Illustrations,AT_PetInsect,7,300020,捕捉过不同的7个昆虫系宠物,
118,昆虫系大师,ACH_Illustrations,AT_PetInsect,10,300095,捕捉过不同的10个昆虫系宠物,
119,初识植物系,ACH_Illustrations,AT_PetPlant,3,300018,捕捉过不同的3个植物系宠物,
120,植物系达人,ACH_Illustrations,AT_PetPlant,5,300019,捕捉过不同的5个植物系宠物,
121,植物系专家,ACH_Illustrations,AT_PetPlant,7,300020,捕捉过不同的7个植物系宠物,
122,植物系大师,ACH_Illustrations,AT_PetPlant,10,300095,捕捉过不同的10个植物系宠物,
123,初识特殊系,ACH_Illustrations,AT_PetExtra,3,300018,捕捉过不同的3个特殊系宠物,
124,特殊系达人,ACH_Illustrations,AT_PetExtra,5,300019,捕捉过不同的5个特殊系宠物,
125,特殊系专家,ACH_Illustrations,AT_PetExtra,7,300020,捕捉过不同的7个特殊系宠物,
126,特殊系大师,ACH_Illustrations,AT_PetExtra,10,300095,捕捉过不同的10个特殊系宠物,
127,初识金属系,ACH_Illustrations,AT_PetMetal,3,300018,捕捉过不同的3个金属系宠物,
128,金属系达人,ACH_Illustrations,AT_PetMetal,5,300019,捕捉过不同的5个金属系宠物,
129,金属系专家,ACH_Illustrations,AT_PetMetal,7,300020,捕捉过不同的7个金属系宠物,
130,金属系大师,ACH_Illustrations,AT_PetMetal,10,300095,捕捉过不同的10个金属系宠物,
131,初识龙系,ACH_Illustrations,AT_PetDragon,3,300018,捕捉过不同的3个龙系宠物,
132,龙系达人,ACH_Illustrations,AT_PetDragon,5,300019,捕捉过不同的5个龙系宠物,
133,龙系专家,ACH_Illustrations,AT_PetDragon,7,300020,捕捉过不同的7个龙系宠物,
134,龙系大师,ACH_Illustrations,AT_PetDragon,10,300095,捕捉过不同的10个龙系宠物,
135,初识人形系,ACH_Illustrations,AT_PetHuman,3,300018,捕捉过不同的3个人形系宠物,
136,人形系达人,ACH_Illustrations,AT_PetHuman,5,300019,捕捉过不同的5个人形系宠物,
137,人形系专家,ACH_Illustrations,AT_PetHuman,7,300020,捕捉过不同的7个人形系宠物,
138,人形系大师,ACH_Illustrations,AT_PetHuman,10,300095,捕捉过不同的10个人形系宠物,
139,我的包包就是大,ACH_Growup,AT_Bag,4,300028,扩充4页仓库,
140,都能装下,ACH_Growup,AT_PetBag,4,300028,扩充4页兽栏,
141,绝世神兵,ACH_Growup,AT_GoodMake,1,300067,打造出一把绝品装备,
142,神兵利器,ACH_Growup,AT_GoodMake,10,300062,打造出十把绝品装备,
143,我就是神匠,ACH_Growup,AT_GoodMake,100,300090,打造出100把绝品装备,
144,我的才是最好的,ACH_Pet,AT_PetIntensive,8,300090,将一只宠物强化到8级,
145,最强的开端,ACH_Pet,AT_PetIntensive,10,300082,将一只宠物强化到10级,
146,加入家族,ACH_Growup,AT_Home,1,300036,第一次加入家族,
147,神器5级,ACH_Growup,AT_MagicEquip,5,300008,神器升到5级,96
148,神器10级,ACH_Growup,AT_MagicEquip,10,300022,神器升到10级,97
149,神器15级,ACH_Growup,AT_MagicEquip,15,300079,神器升到15级,98
150,神器20级,ACH_Growup,AT_MagicEquip,20,300080,神器升到20级,99
151,神器25级,ACH_Growup,AT_MagicEquip,25,300081,神器升到25级,100
152,神器30级,ACH_Growup,AT_MagicEquip,30,300082,神器升到30级,101
