ArchitectureID,Level,NeedMoney,Name,ICON,Desc,Number,Reward,Type
4,1,20000,采集场,jiazu_caijichang,家族的采集场，可以通过完成收集物品来发放材料奖励，采集场等级和发放材料等级相同。,20,21352,GBT_Collection
4,2,100000,采集场,jiazu_caijichang,家族的采集场，可以通过完成收集物品来发放材料奖励，采集场等级和发放材料等级相同。,40,21353,GBT_Collection
4,3,200000,采集场,jiazu_caijichang,家族的采集场，可以通过完成收集物品来发放材料奖励，采集场等级和发放材料等级相同。,60,21354,GBT_Collection
4,4,400000,采集场,jiazu_caijichang,家族的采集场，可以通过完成收集物品来发放材料奖励，采集场等级和发放材料等级相同。,100,21355,GBT_Collection
4,5,600000,采集场,jiazu_caijichang,家族的采集场，可以通过完成收集物品来发放材料奖励，采集场等级和发放材料等级相同。,150,21356,GBT_Collection
4,6,1000000,采集场,jiazu_caijichang,家族的采集场，可以通过完成收集物品来发放材料奖励，采集场等级和发放材料等级相同。,200,21357,GBT_Collection
4,7,1600000,采集场,jiazu_caijichang,家族的采集场，可以通过完成收集物品来发放材料奖励，采集场等级和发放材料等级相同。,300,21358,GBT_Collection
4,8,2400000,采集场,jiazu_caijichang,家族的采集场，可以通过完成收集物品来发放材料奖励，采集场等级和发放材料等级相同。,400,21359,GBT_Collection
4,9,4000000,采集场,jiazu_caijichang,家族的采集场，可以通过完成收集物品来发放材料奖励，采集场等级和发放材料等级相同。,500,21360,GBT_Collection
4,10,0,采集场,jiazu_caijichang,家族的采集场，可以通过完成收集物品来发放材料奖励，采集场等级和发放材料等级相同。,800,21361,GBT_Collection
5,1,20000,祝福女神,jiazu_zhufunvshen,家族的核心建筑，可以祝福女神这里提升祝福，推荐优先升级。,2,,GBT_Goddess
5,2,100000,祝福女神,jiazu_zhufunvshen,家族的核心建筑，可以祝福女神这里提升祝福，推荐优先升级。,4,,GBT_Goddess
5,3,200000,祝福女神,jiazu_zhufunvshen,家族的核心建筑，可以祝福女神这里提升祝福，推荐优先升级。,6,,GBT_Goddess
5,4,400000,祝福女神,jiazu_zhufunvshen,家族的核心建筑，可以祝福女神这里提升祝福，推荐优先升级。,8,,GBT_Goddess
5,5,600000,祝福女神,jiazu_zhufunvshen,家族的核心建筑，可以祝福女神这里提升祝福，推荐优先升级。,10,,GBT_Goddess
5,6,1000000,祝福女神,jiazu_zhufunvshen,家族的核心建筑，可以祝福女神这里提升祝福，推荐优先升级。,12,,GBT_Goddess
5,7,1600000,祝福女神,jiazu_zhufunvshen,家族的核心建筑，可以祝福女神这里提升祝福，推荐优先升级。,14,,GBT_Goddess
5,8,2400000,祝福女神,jiazu_zhufunvshen,家族的核心建筑，可以祝福女神这里提升祝福，推荐优先升级。,16,,GBT_Goddess
5,9,4000000,祝福女神,jiazu_zhufunvshen,家族的核心建筑，可以祝福女神这里提升祝福，推荐优先升级。,18,,GBT_Goddess
5,10,0,祝福女神,jiazu_zhufunvshen,家族的核心建筑，可以祝福女神这里提升祝福，推荐优先升级。,20,,GBT_Goddess
6,1,20000,守护兽,jiazu_shouhushou,家族守护兽的培养可以对家族战起到关键的作用，推荐优先升级。,35,,GBT_Progenitus
6,2,100000,守护兽,jiazu_shouhushou,家族守护兽的培养可以对家族战起到关键的作用，推荐优先升级。,40,,GBT_Progenitus
6,3,200000,守护兽,jiazu_shouhushou,家族守护兽的培养可以对家族战起到关键的作用，推荐优先升级。,45,,GBT_Progenitus
6,4,400000,守护兽,jiazu_shouhushou,家族守护兽的培养可以对家族战起到关键的作用，推荐优先升级。,50,,GBT_Progenitus
6,5,600000,守护兽,jiazu_shouhushou,家族守护兽的培养可以对家族战起到关键的作用，推荐优先升级。,55,,GBT_Progenitus
6,6,1000000,守护兽,jiazu_shouhushou,家族守护兽的培养可以对家族战起到关键的作用，推荐优先升级。,60,,GBT_Progenitus
6,7,1600000,守护兽,jiazu_shouhushou,家族守护兽的培养可以对家族战起到关键的作用，推荐优先升级。,65,,GBT_Progenitus
6,8,2400000,守护兽,jiazu_shouhushou,家族守护兽的培养可以对家族战起到关键的作用，推荐优先升级。,70,,GBT_Progenitus
6,9,4000000,守护兽,jiazu_shouhushou,家族守护兽的培养可以对家族战起到关键的作用，推荐优先升级。,75,,GBT_Progenitus
6,10,0,守护兽,jiazu_shouhushou,家族守护兽的培养可以对家族战起到关键的作用，推荐优先升级。,80,,GBT_Progenitus
