questName,QuestId,QuestKind,QuestType,NeedLevel,NeedItemID,RequireType,Requirement,StartNPC,StartTalk,FinishNPCScene,FinishNPC,DoingScene,DoingCoordinate,ProTalk,FinishTalk,PreQuest,Coin,Exp,Item,ItemNum,Target,TargetNum,DropID,DropID2,chuansong,QuestMiniDesc,Endtarget,QuestDes,JobType,JobLevel,Title,AcceptScript,SubmitScript,PostQuest,Bossnpc
灾祸,33,QK_Main,QT_KillAI,21,,RT_Nil,,7,88,2,7,,,55,89,32,,,,,22;23,2;2,200033,,30;7,[info=6|3]在试炼山洞遇敌，击败2个[ff9696]水蜘蛛[-]:2个[ff9696]水鬼草[-][/info],[info=30;7]在罗德里镇内与[fbf21c]镇长耶鲁卡夫[-]交谈[/info],试炼山洞灾祸连连，让我们来对付可怕的水蜘蛛和水鬼草吧。,,,,,,34,
水鼠草,34,QK_Main,QT_Item,23,,RT_Nil,,7,98,2,1103,,,55,99,33,,,,,7032,3,200034,,30;7,[info=6;1506]在试炼山洞，寻找3个[ff9696]水鼠草[-]，从中采集3个[ff9696]水鼠草[-][/info],[info=30;1103]在罗德里镇内和[fbf21c]英雄公会会长艾丽西亚[-][/info],英雄公会会长艾丽西亚需要水鼠草草药，为了以后与英雄公会多交际，所以就帮助她吧。,,,,"QuestAccept_caiji2(RECEIVER, ARG0, ARG1, ARG2,ARG3)","QuestSubmit_caiji2(RECEIVER, ARG0, ARG1, ARG2,ARG3)",35,
老英雄的召唤,35,QK_Main,QT_Dialog,23,,RT_Nil,,1103,100,2,205,,,3101,101,34,,,,,,,200035,,30;1103,[info=30;205]在罗德里镇内与[fbf21c]老英雄佩普[-]交谈[/info],[info=30;205]在罗德里镇内与[fbf21c]老英雄佩普[-]交谈[/info],老英雄佩普正在找寻我们，让我们快去见他吧。,,,,,,36,
林间空袭,36,QK_Main,QT_KillAI,23,,RT_Nil,,205,102,2,205,,,177,103,35,,,,,24;25,2;2,200036,,30;205,[info=30|4]在林间走廊遇敌，击败2个[ff9696]蜜蜂[-]:2个[ff9696]蝙蝠[-][/info],[info=30;205]在罗德里镇内与[fbf21c]老英雄佩普[-]交谈[/info],听从老英雄佩普的良言，帮助罗德里镇的人清除掉林间走廊的飞行系怪物。,,,,,,37,
英雄的认可,37,QK_Main,QT_Dialog,23,,RT_Nil,,205,104,2,7,,,177,105,36,,,,,,,200037,,30;205,[info=30;7]在罗德里镇内与[fbf21c]镇长耶鲁卡夫[-]交谈[/info],[info=30;7]在罗德里镇内与[fbf21c]镇长耶鲁卡夫[-]交谈[/info],我们的实力受到了老英雄佩普的认可，现在就去告诉耶鲁卡夫镇长吧。,,,,,,38,
救援,38,QK_Main,QT_Dialog,23,,RT_Nil,,7,106,2,8,,,55,107,37,,,,,,,200038,,30;7,[info=30;8]在罗德里镇内与[fbf21c]木匠麦尔[-]交谈[/info],[info=30;8]在罗德里镇内与[fbf21c]木匠麦尔[-]交谈[/info],木匠麦尔有急事找你，去见一见他吧。,,,,,,39,
恶魔食人花,39,QK_Main,QT_KillAI,23,,RT_Nil,,8,108,2,8,,,66,109,38,,,,,26,1,200039,,30;8,[info=30;512]在罗德里镇镇口找到[fbf21c]恶魔食人花[-]，并击败他（建议组队）[/info],[info=30;8]在罗德里镇内与[fbf21c]木匠麦尔[-]交谈[/info],帮助木匠麦尔遇敌，击败对他造成人身安全的恶魔食人花。,,,,"QuestAccept_19(RECEIVER, ARG0, ARG1, ARG2,ARG3)",,40,
良好的木材,40,QK_Main,QT_Item,25,,RT_Nil,,8,110,2,8,,,66,111,39,,,,,7033,3,200040,,30;8,[info=30;1509]在林间走廊，寻找3个[ff9696]紫衫树[-]，从中采集3个[ff9696]紫衫木[-][/info],[info=30;8]在罗德里镇内与[fbf21c]木匠麦尔[-]交谈[/info],帮助木匠麦尔采集一些紫衫木，帮助他来翻修罗德里镇。,,,,"QuestAccept_caiji3(RECEIVER, ARG0, ARG1, ARG2,ARG3)","QuestSubmit_caiji3(RECEIVER, ARG0, ARG1, ARG2,ARG3)",41,
穴熊侵袭,41,QK_Main,QT_KillAI,25,,RT_Nil,,8,112,2,7,,,66,113,40,,,,,151,2,200041,,30;8,[info=30|5]在林间走廊遇敌，击败2个[ff9696]穴熊[-][/info],[info=30;7]在罗德里镇内与[fbf21c]镇长耶鲁卡夫[-]交谈[/info],保护去林间走廊采集木材的木匠，清除掉一些穴熊。,,,,,,42,
隐士的召唤,42,QK_Main,QT_Dialog,25,,RT_Nil,,7,114,2,10,,,55,115,41,,,,,,,200042,,30;7,[info=30;10]在贝拉海滩与[fbf21c]隐士麦哲伦[-]交谈[/info],[info=30;10]在贝拉海滩与[fbf21c]隐士麦哲伦[-]交谈[/info],前往贝拉海滩见一见隐士麦哲伦吧。,,,,,,43,
吞噬,43,QK_Main,QT_KillAI,25,,RT_Nil,,10,116,2,10,,,80,117,42,,,,,29,2,200043,,30;10,[info=30|6]在贝拉海滩遇敌，击败2个[ff9696]贪食兽[-][/info],[info=30;10]在贝拉海滩与[fbf21c]隐士麦哲伦[-]交谈[/info],在贝拉海滩消灭残忍恐怖的贪食兽。,,,,,,44,
遗忘的巨人,44,QK_Main,QT_KillAI,25,,RT_Nil,,10,118,2,10,,,80,119,43,,,,,30,1,200044,,30;10,[info=101;514]在甲壳山洞内找到[fbf21c]巨人巴罗斯[-]，并击败他（建议组队）[/info],[info=30;10]在贝拉海滩与[fbf21c]隐士麦哲伦[-]交谈[/info],在甲壳山洞内遇敌，击败可能会引起危机的巨人巴罗斯。,,,,,,45,
繁衍,45,QK_Main,QT_KillAI,25,,RT_Nil,,10,120,2,10,,,80,121,44,,,,,31,2,200045,,30;10,[info=30|6]在贝拉海滩遇敌，击败2个[ff9696]泡沫软泥怪[-][/info],[info=30;10]在贝拉海滩与[fbf21c]隐士麦哲伦[-]交谈[/info],将贝拉海滩上繁衍过盛的泡沫软泥怪清除掉一些。,,,,,,46,
厨艺大赛,46,QK_Main,QT_Dialog,25,,RT_Nil,,10,122,2,9,,,80,123,45,,,,,,,200046,,30;10,[info=30;9]在罗德里镇内与[fbf21c]厨娘莉莉[-]交谈[/info],[info=30;9]在罗德里镇内与[fbf21c]厨娘莉莉[-]交谈[/info],与罗德里镇内的厨娘莉莉见面。,,,,,,47,
竞争对手,47,QK_Main,QT_KillAI,25,,RT_Nil,,9,124,2,10,,,75,125,46,,,,,32,1,200047,,30;9,[info=30;515]在罗德里镇内找到[fbf21c]刺客阿一[-]，并击败他（建议组队）[/info],[info=30;10]在贝拉海滩与[fbf21c]隐士麦哲伦[-]交谈[/info],阻止刺客阿一对厨娘莉莉的暗杀计划。,,,,,,48,
线索,48,QK_Main,QT_Dialog,27,,RT_Nil,,10,126,2,9,,,80,127,47,,,,,,,200048,,30;10,[info=30;9]在罗德里镇内与[fbf21c]厨娘莉莉[-]交谈[/info],[info=30;9]在罗德里镇内与[fbf21c]厨娘莉莉[-]交谈[/info],听从麦哲伦老师的建议，继续帮助厨娘莉莉。,,,,,,49,
盗匪与蘑菇,49,QK_Main,QT_KillAI,27,,RT_Nil,,9,128,2,9,,,75,129,48,,,,,33;34,2;2,200049,,30;9,[info=103|1]在食人魔洞穴遇敌，击败2个[ff9696]盗匪[-]:2个[ff9696]毒蘑菇[-][/info],[info=30;9]在罗德里镇内与[fbf21c]厨娘莉莉[-]交谈[/info],在食人魔洞穴内击败威胁厨娘莉莉的盗匪与毒蘑菇，确保她的平安。,,,,,,50,
袭击,50,QK_Main,QT_Dialog,27,,RT_Nil,,9,130,2,1103,,,75,131,49,,,,,,,200050,,30;9,[info=30;1103]在罗德里镇内和[fbf21c]英雄公会会长艾丽西亚[-][/info],[info=30;1103]在罗德里镇内和[fbf21c]英雄公会会长艾丽西亚[-][/info],据说有人想要袭击英雄公会押送的货物，马上去找艾丽西亚商量一下对策吧。,,,,,,51,
行尸走肉,51,QK_Main,QT_KillAI,27,,RT_Nil,,1103,132,2,8,,,3101,133,50,,,,,35;36,2;2,200051,,30;1103,[info=103|2]在食人魔洞穴遇敌，击败2个[ff9696]行尸[-]:2个[ff9696]哥布林[-][/info],[info=30;8]在罗德里镇内与[fbf21c]木匠麦尔[-]交谈[/info],帮助艾丽西亚调查食人魔洞穴，击败行尸与哥布林。,,,,,,52,
魔穴矿脉,52,QK_Main,QT_Item,27,,RT_Nil,,8,134,2,8,,,66,135,51,,,,,7034,3,200052,,30;8,[info=103;1512]在食人魔洞穴，寻找3个[ff9696]魔晶矿脉[-]，从中采集3个[ff9696]魔晶矿[-][/info],[info=30;8]在罗德里镇内与[fbf21c]木匠麦尔[-]交谈[/info],帮助木匠麦尔从魔晶矿脉那里采集出魔晶矿。,,,,"QuestAccept_caiji4(RECEIVER, ARG0, ARG1, ARG2,ARG3)","QuestSubmit_caiji4(RECEIVER, ARG0, ARG1, ARG2,ARG3)",53,
罪恶之徒,53,QK_Main,QT_KillAI,27,,RT_Nil,,8,136,2,1103,,,66,137,52,,,,,37,1,200053,,30;8,[info=103;516]在食人魔洞穴找到[fbf21c]食人魔法师波坎[-]，并击败他（建议组队）[/info],[info=30;1103]在罗德里镇内和[fbf21c]英雄公会会长艾丽西亚[-][/info],在食人魔洞穴，击败欲侵吞罗德里镇货物的食人魔法师波坎。,,,,,,54,
最终的试炼,54,QK_Main,QT_Dialog,29,,RT_Nil,,1103,138,2,10,,,3101,139,53,,,,,,,200054,,30;1103,[info=30;10]在贝拉海滩与[fbf21c]隐士麦哲伦[-]交谈[/info],[info=30;10]在贝拉海滩与[fbf21c]隐士麦哲伦[-]交谈[/info],在贝拉海滩与隐士麦哲伦见面，准备最终的试炼。,,,,,,55,
林间邪影,55,QK_Main,QT_KillAI,29,,RT_Nil,,10,140,2,10,,,80,141,54,,,,,38;39,2;2,200055,,30;10,[info=103|3]在食人魔洞穴遇敌，击败2个[ff9696]鬼影[-]:2个[ff9696]怒熊[-][/info],[info=30;10]在贝拉海滩与[fbf21c]隐士麦哲伦[-]交谈[/info],鬼影和怒熊出没于食人魔洞穴，去那里解决这些可怕的生物吧。,,,,,,56,
正义,56,QK_Main,QT_Dialog,29,,RT_Nil,,10,142,2,205,,,80,143,55,,,,,,,200056,,30;10,[info=30;205]在罗德里镇内与[fbf21c]老英雄佩普[-]交谈[/info],[info=30;205]在罗德里镇内与[fbf21c]老英雄佩普[-]交谈[/info],正义需要伸张，公理需要主持，让我们去见一见老英雄佩普吧。,,,,,,57,
邪恶的同盟,57,QK_Main,QT_KillAI,29,,RT_Nil,,205,144,2,8,,,177,145,56,,,,,40,1,200057,,30;205,[info=103;517]在食人魔洞穴找到[fbf21c]蜥蜴人扎戈[-]，并击败他（建议组队）[/info],[info=30;8]在罗德里镇内与[fbf21c]木匠麦尔[-]交谈[/info],蜥蜴人想要与食人魔建立罪恶的同盟，快去阻止他们。,,,,,,58,
林间深处,58,QK_Main,QT_KillAI,29,,RT_Nil,,8,146,2,8,,,66,147,57,,,,,41;42,2;2,200058,,30;8,[info=30|7]在林间走廊遇敌，击败2个[ff9696]怪怪箱[-]:2个[ff9696]水精魂[-][/info],[info=30;8]在罗德里镇内与[fbf21c]木匠麦尔[-]交谈[/info],为了罗德里镇的木工们，在林间走廊击败怪怪箱和水精魂。,,,,,,59,
迷之人物,59,QK_Main,QT_Dialog,29,,RT_Nil,,8,148,2,10,,,66,149,58,,,,,,,200059,,30;8,[info=30;10]在贝拉海滩与[fbf21c]隐士麦哲伦[-]交谈[/info],[info=30;10]在贝拉海滩与[fbf21c]隐士麦哲伦[-]交谈[/info],罗德里镇附近出现了一个神秘的可疑人物，去找麦哲伦老师商量一下吧。,,,,,,60,
白恶魔,60,QK_Main,QT_KillAI,29,,RT_Nil,,10,150,2,10,,,80,151,59,,,,,43,1,200060,,30;10,[info=6;518]在试炼山洞找到[fbf21c]白恶魔吉拉斯[-]，并击败他（建议组队）[/info],[info=30;10]在贝拉海滩与[fbf21c]隐士麦哲伦[-]交谈[/info],有个神秘的人物隐藏在试炼山洞之中，他究竟有什么阴谋？马上去见见他吧。,,,,,,61,
莉莉的请求,61,QK_Main,QT_Dialog,31,,RT_Nil,,10,152,2,9,,,80,153,60,,,,,,,200061,,30;10,[info=30;9]在罗德里镇内与[fbf21c]厨娘莉莉[-]交谈[/info],[info=30;9]在罗德里镇内与[fbf21c]厨娘莉莉[-]交谈[/info],罗德里镇的厨娘莉莉需要我们帮助，让我们再去看看她吧。,,,,,,62,
终级一战,62,QK_Main,QT_KillAI,31,,RT_Nil,,9,154,2,9,,,75,155,61,,,,,44;45,2;2,200062,,30;9,[info=6|2]在试炼山洞遇敌，击败2个[ff9696]哥布林[-]:2个[ff9696]臭臭花[-][/info],[info=30;9]在罗德里镇内与[fbf21c]厨娘莉莉[-]交谈[/info],食人魔势力的余孽又开始在试炼山洞捣乱了，让我们去干掉他们吧。,,,,,,63,
