ID,BattleType,dialogue1,dialogue2,BP_Up0,BP_Up1,BP_Up2,BP_Up3,BP_Up4,BP_Up5,BP_Up6,BP_Up7,BP_Up8,BP_Up9,BP_Down0,BP_Down1,BP_Down2,BP_Down3,BP_Down4,BP_Down5,BP_Down6,BP_Down7,BP_Down8,BP_Down9,BattleName
9019,BT_PVE,,,,,90019,,,,,,,,,,,,,,,,,,
9020,BT_PVE,,,,,90020,,,,,,,,,,,,,,,,,,
30001,BT_PVE,,,,,30000,,,,,,,,,,,,,,,,,,
30002,BT_PVE,,,,,30001,,,,,,,,,,,,,,,,,,
30003,BT_PVE,,,,,30002,,,,,,,,,,,,,,,,,,
30004,BT_PVE,,,,,30003,,,,,,,,,,,,,,,,,,
30005,BT_PVE,,,,,30004,,,,,,,,,,,,,,,,,,
30006,BT_PVE,,,,,30005,,,,,,,,,,,,,,,,,,
30007,BT_PVE,,,,,30006,,,,,,,,,,,,,,,,,,
30008,BT_PVE,,,,,30007,,,,,,,,,,,,,,,,,,
30009,BT_PVE,,,,,30008,,,,,,,,,,,,,,,,,,
30010,BT_PVE,,,,,30009,,,,,,,,,,,,,,,,,,
30011,BT_PVE,,,,,30010,,,,,,,,,,,,,,,,,,
40001,BT_PVE,,,,,60000,,,,,,,,,,,,,,,,,,
40002,BT_PVE,,,,60001,,60001,,,,,,,,,,,,,,,,,
40003,BT_PVE,,,,60017,60002,60012,,,,,,,,,,,,,,,,,
40004,BT_PVE,,,,60003,,60003,,,,,,,,,,,,,,,,,
40005,BT_PVE,,,,60004,60004,60004,,,,,,,,,,,,,,,,,
40006,BT_PVE,,,,60005,,60005,,,,,,,,,,,,,,,,,
40007,BT_PVE,,,60010,60006,60006,60006,60010,,,,,,,,,,,,,,,,
40008,BT_PVE,,,,,60007,,,,,,,,,,,,,,,,,,
40009,BT_PVE,,,60012,60002,60008,60002,,,,,,,,,,,,,,,,,
40010,BT_PVE,,,,,60009,,,,,,,,,,,,,,,,,,
40011,BT_PVE,,,,60002,60010,60019,,,,60008,,,,,,,,,,,,,
40012,BT_PVE,,,,,60011,,,,,,,,,,,,,,,,,,
40013,BT_PVE,,,,60015,60012,60015,,,,,,,,,,,,,,,,,
40014,BT_PVE,,,,60013,60013,60013,,,,,,,,,,,,,,,,,
40015,BT_PVE,,,,60014,60014,60014,,,,,,,,,,,,,,,,,
40016,BT_PVE,,,,60015,60015,60015,,,,,,,,,,,,,,,,,
40017,BT_PVE,,,,60016,,60016,,,,,,,,,,,,,,,,,
40018,BT_PVE,,,,60012,60017,60012,,,,,,,,,,,,,,,,,
40019,BT_PVE,,,60018,,60018,,60018,,,,,,,,,,,,,,,,
40020,BT_PVE,,,,60014,60019,60014,,,,,,,,,,,,,,,,,
40021,BT_PVE,,,,31254,60020,31254,,,,,,,,,,,,,,,,,
40022,BT_PVE,,,60018,60006,60021,60020,60008,,,,,,,,,,,,,,,,
2001,BT_PVE,,,20023,20023,40001,20023,20023,20023,20023,20023,20023,20023,,,,,,,,,,,
2002,BT_PVE,,,20023,20023,40002,20023,20023,20023,20023,20023,20023,20023,,,,,,,,,,,
2003,BT_PVE,,,20023,20023,40003,20023,20023,20023,20023,20023,20023,20023,,,,,,,,,,,
2004,BT_PVE,,,20023,20023,40004,20023,20023,20023,20023,20023,20023,20023,,,,,,,,,,,
2005,BT_PVE,,,20023,20023,40005,20023,20023,20023,20023,20023,20023,20023,,,,,,,,,,,
2006,BT_PVE,,,20023,20023,40006,20023,20023,20023,20023,20023,20023,20023,,,,,,,,,,,
2007,BT_PVE,,,20023,20023,40007,20023,20023,20023,20023,20023,20023,20023,,,,,,,,,,,
2008,BT_PVE,,,20023,20023,40008,20023,20023,20023,20023,20023,20023,20023,,,,,,,,,,,
2009,BT_PVE,,,20023,20023,40009,20023,20023,20023,20023,20023,20023,20023,,,,,,,,,,,
2010,BT_PVE,,,20023,20023,40010,20023,20023,20023,20023,20023,20023,20023,,,,,,,,,,,
2011,BT_PVE,,,20023,20023,40011,20023,20023,20023,20023,20023,20023,20023,,,,,,,,,,,
2012,BT_PVE,,,20023,20023,40012,20023,20023,20023,20023,20023,20023,20023,,,,,,,,,,,
2013,BT_PVE,,,20023,20023,40013,20023,20023,20023,20023,20023,20023,20023,,,,,,,,,,,
2014,BT_PVE,,,20023,20023,40014,20023,20023,20023,20023,20023,20023,20023,,,,,,,,,,,
2015,BT_PVE,,,20023,20023,40015,20023,20023,20023,20023,20023,20023,20023,,,,,,,,,,,
2016,BT_PVE,,,20043,20043,40016,20043,20043,20043,20043,20043,20043,20043,,,,,,,,,,,
2017,BT_PVE,,,20043,20043,40017,20043,20043,20043,20043,20043,20043,20043,,,,,,,,,,,
2018,BT_PVE,,,20043,20043,40018,20043,20043,20043,20043,20043,20043,20043,,,,,,,,,,,
2019,BT_PVE,,,20043,20043,40019,20043,20043,20043,20043,20043,20043,20043,,,,,,,,,,,
2020,BT_PVE,,,20043,20043,40020,20043,20043,20043,20043,20043,20043,20043,,,,,,,,,,,
2021,BT_PVE,,,20043,20043,40021,20043,20043,20043,20043,20043,20043,20043,,,,,,,,,,,
2022,BT_PVE,,,20043,20043,40022,20043,20043,20043,20043,20043,20043,20043,,,,,,,,,,,
2023,BT_PVE,,,20043,20043,40023,20043,20043,20043,20043,20043,20043,20043,,,,,,,,,,,
2024,BT_PVE,,,20043,20043,40024,20043,20043,20043,20043,20043,20043,20043,,,,,,,,,,,
2025,BT_PVE,,,20043,20043,40025,20043,20043,20043,20043,20043,20043,20043,,,,,,,,,,,
2026,BT_PVE,,,20043,20043,40026,20043,20043,20043,20043,20043,20043,20043,,,,,,,,,,,
2027,BT_PVE,,,20043,20043,40027,20043,20043,20043,20043,20043,20043,20043,,,,,,,,,,,
2028,BT_PVE,,,20043,20043,40028,20043,20043,20043,20043,20043,20043,20043,,,,,,,,,,,
2029,BT_PVE,,,20043,20043,40029,20043,20043,20043,20043,20043,20043,20043,,,,,,,,,,,
2030,BT_PVE,,,20043,20043,40030,20043,20043,20043,20043,20043,20043,20043,,,,,,,,,,,
2031,BT_PVE,,,20062,20062,40031,20062,20062,20062,20062,20062,20062,20062,,,,,,,,,,,
2032,BT_PVE,,,20062,20062,40032,20062,20062,20062,20062,20062,20062,20062,,,,,,,,,,,
2033,BT_PVE,,,20062,20062,40033,20062,20062,20062,20062,20062,20062,20062,,,,,,,,,,,
2034,BT_PVE,,,20062,20062,40034,20062,20062,20062,20062,20062,20062,20062,,,,,,,,,,,
2035,BT_PVE,,,20062,20062,40035,20062,20062,20062,20062,20062,20062,20062,,,,,,,,,,,
2036,BT_PVE,,,20062,20062,40036,20062,20062,20062,20062,20062,20062,20062,,,,,,,,,,,
2037,BT_PVE,,,20062,20062,40037,20062,20062,20062,20062,20062,20062,20062,,,,,,,,,,,
2038,BT_PVE,,,20062,20062,40038,20062,20062,20062,20062,20062,20062,20062,,,,,,,,,,,
2039,BT_PVE,,,20062,20062,40039,20062,20062,20062,20062,20062,20062,20062,,,,,,,,,,,
2040,BT_PVE,,,20062,20062,40040,20062,20062,20062,20062,20062,20062,20062,,,,,,,,,,,
2041,BT_PVE,,,20062,20062,40041,20062,20062,20062,20062,20062,20062,20062,,,,,,,,,,,
2042,BT_PVE,,,20062,20062,40042,20062,20062,20062,20062,20062,20062,20062,,,,,,,,,,,
2043,BT_PVE,,,20062,20062,40043,20062,20062,20062,20062,20062,20062,20062,,,,,,,,,,,
2044,BT_PVE,,,20062,20062,40044,20062,20062,20062,20062,20062,20062,20062,,,,,,,,,,,
2045,BT_PVE,,,20062,20062,40045,20062,20062,20062,20062,20062,20062,20062,,,,,,,,,,,
2046,BT_PVE,,,20078,20078,40046,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2047,BT_PVE,,,20078,20078,40047,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2048,BT_PVE,,,20078,20078,40048,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2049,BT_PVE,,,20078,20078,40049,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2050,BT_PVE,,,20078,20078,40050,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2051,BT_PVE,,,20078,20078,40051,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2052,BT_PVE,,,20078,20078,40052,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2053,BT_PVE,,,20078,20078,40053,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2054,BT_PVE,,,20078,20078,40054,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2055,BT_PVE,,,20078,20078,40055,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2056,BT_PVE,,,20078,20078,40056,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2057,BT_PVE,,,20078,20078,40057,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2058,BT_PVE,,,20078,20078,40058,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2059,BT_PVE,,,20078,20078,40059,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2060,BT_PVE,,,20078,20078,40060,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2061,BT_PVE,,,20116,20116,40061,20116,20116,20116,20116,20116,20116,20116,,,,,,,,,,,
2062,BT_PVE,,,20116,20116,40062,20116,20116,20116,20116,20116,20116,20116,,,,,,,,,,,
2063,BT_PVE,,,20116,20116,40063,20116,20116,20116,20116,20116,20116,20116,,,,,,,,,,,
2064,BT_PVE,,,20116,20116,40064,20116,20116,20116,20116,20116,20116,20116,,,,,,,,,,,
2065,BT_PVE,,,20116,20116,40065,20116,20116,20116,20116,20116,20116,20116,,,,,,,,,,,
2066,BT_PVE,,,20116,20116,40066,20116,20116,20116,20116,20116,20116,20116,,,,,,,,,,,
2067,BT_PVE,,,20116,20116,40067,20116,20116,20116,20116,20116,20116,20116,,,,,,,,,,,
2068,BT_PVE,,,20116,20116,40068,20116,20116,20116,20116,20116,20116,20116,,,,,,,,,,,
2069,BT_PVE,,,20116,20116,40069,20116,20116,20116,20116,20116,20116,20116,,,,,,,,,,,
2070,BT_PVE,,,20116,20116,40070,20116,20116,20116,20116,20116,20116,20116,,,,,,,,,,,
2071,BT_PVE,,,20116,20116,40071,20116,20116,20116,20116,20116,20116,20116,,,,,,,,,,,
2072,BT_PVE,,,20116,20116,40072,20116,20116,20116,20116,20116,20116,20116,,,,,,,,,,,
2073,BT_PVE,,,20116,20116,40073,20116,20116,20116,20116,20116,20116,20116,,,,,,,,,,,
2074,BT_PVE,,,20116,20116,40074,20116,20116,20116,20116,20116,20116,20116,,,,,,,,,,,
2075,BT_PVE,,,20116,20116,40075,20116,20116,20116,20116,20116,20116,20116,,,,,,,,,,,
2076,BT_PVE,,,20138,20138,40076,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2077,BT_PVE,,,20138,20138,40077,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2078,BT_PVE,,,20138,20138,40078,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2079,BT_PVE,,,20138,20138,40079,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2080,BT_PVE,,,20138,20138,40080,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2081,BT_PVE,,,20138,20138,40081,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2082,BT_PVE,,,20138,20138,40082,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2083,BT_PVE,,,20138,20138,40083,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2084,BT_PVE,,,20138,20138,40084,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2085,BT_PVE,,,20138,20138,40085,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2086,BT_PVE,,,20138,20138,40086,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2087,BT_PVE,,,20138,20138,40087,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2088,BT_PVE,,,20138,20138,40088,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2089,BT_PVE,,,20138,20138,40089,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2090,BT_PVE,,,20138,20138,40090,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2091,BT_PVE,,,20153,20153,40091,20153,20153,20153,20153,20153,20153,20153,,,,,,,,,,,
2092,BT_PVE,,,20153,20153,40092,20153,20153,20153,20153,20153,20153,20153,,,,,,,,,,,
2093,BT_PVE,,,20153,20153,40093,20153,20153,20153,20153,20153,20153,20153,,,,,,,,,,,
2094,BT_PVE,,,20153,20153,40094,20153,20153,20153,20153,20153,20153,20153,,,,,,,,,,,
