DropID,text,exp,money,diamond,item-1,item-num-1,pro-type-1,probability-1,item-2,item-num-2,pro-type-2,probability-2,item-3,item-num-3,pro-type-3,probability-3,item-4,item-num-4,pro-type-4,probability-4,item-5,item-num-5,pro-type-5,probability-5,item-6,item-num-6,pro-type-6,probability-6
200039,恶魔食人花,50025,775,,3101,3,1,10000,5086,2,1,10000,,,,,,,,,,,,,,,,
200040,蜂巢,21910,320,,3101,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200041,巨熊侵袭,54775,800,,3001,4,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200042,隐士的召唤,8985,99,,3001,4,1,10000,,,,,,,,,,,,,,,,,,,,
200043,吞噬,29950,330,,3101,4,1,10000,,,,,,,,,,,,,,,,,,,,
200044,遗忘的巨人,74875,825,,3801,1,1,10000,5116,1,1,10000,,,,,,,,,,,,,,,,
200045,繁衍,63030,340,,3101,4,1,10000,,,,,,,,,,,,,,,,,,,,
200046,厨艺大赛,18909,102,,3802,1,1,10000,,,,,,,,,,,,,,,,,,,,
200047,竞争对手,157575,850,,3102,4,1,10000,5116,1,1,10000,,,,,,,,,,,,,,,,
200048,盗匪成灾,27960,350,,3802,1,1,10000,5116,1,1,10000,,,,,,,,,,,,,,,,
200049,洞穴毒蘑菇,27960,350,,3402,4,1,10000,,,,,,,,,,,,,,,,,,,,
200050,袭击,8388,105,,3402,5,1,10000,,,,,,,,,,,,,,,,,,,,
200051,行尸走肉,72890,360,,3003,4,1,10000,5116,1,1,10000,,,,,,,,,,,,,,,,
200052,哥布林特攻队,72890,360,,3103,4,1,10000,,,,,,,,,,,,,,,,,,,,
200053,罪恶之徒,182225,900,,5086,2,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200054,最终的试炼,10437,111,,3802,1,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200055,洞穴鬼影,34790,370,,3402,4,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200056,食人恶熊,34790,370,,3802,1,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200057,邪恶的同盟,86975,925,,3802,1,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200058,食人怪怪箱,55770,380,,3403,4,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200059,水精魂,55770,380,,3802,1,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200060,白恶魔,139425,950,,3802,1,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200061,莉莉的请求,17757,117,,3401,4,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200062,试炼之危,59190,390,,3402,4,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200063,臭气熏天,59190,390,,3402,4,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200064,贪食的恶狼,147975,975,,3803,1,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200065,恐怖的水鬼,38810,400,,3402,4,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200066,穿行而过,11643,120,,3402,4,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200067,深海的巨龙,97025,1000,,3402,4,1,10000,,,,,,,,,,,,,,,,,,,,
200068,刺客袭击,48660,410,,3114,5,1,10000,5116,1,1,10000,,,,,,,,,,,,,,,,
200069,狼牙,48660,410,,3002,5,1,10000,5116,1,1,10000,,,,,,,,,,,,,,,,
200070,刺客大师,48660,1025,,3002,5,1,10000,,,,,,,,,,,,,,,,,,,,
200071,信任,121650,123,,3402,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200072,花瓣,14598,410,,3402,1,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200073,可怕的沙漠,48660,430,,3402,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200074,潜伏的黄蝎,53490,430,,3402,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200075,尸潮,53490,430,,3402,1,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200076,敌人的窥视,53490,430,,3402,1,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200077,邻邦的变色龙,53490,1075,,3402,5,1,10000,,,,,,,,,,,,,,,,,,,,
200078,沙漠之狐,133725,129,,3402,1,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200079,邪教,16047,675,,3103,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200080,蛊惑者,77370,675,,3003,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200081,召唤,77370,1688,,3103,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200082,火种,77370,675,,3003,5,1,10000,3804,1,1,10000,,,,,,,,,,,,,,,,
200083,驱除邪恶,193425,675,,3303,5,1,10000,5116,1,1,10000,,,,,,,,,,,,,,,,
200084,八脚怪,77370,675,,3003,5,1,10000,3804,1,1,10000,,,,,,,,,,,,,,,,
200085,恐怖墓穴,77370,675,,3303,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200086,恶鬼,77370,675,,3103,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200087,墓穴的守卫,77370,720,,3103,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200088,永生,77370,1800,,3103,5,1,10000,5116,1,1,10000,,,,,,,,,,,,,,,,
200089,刺痛,85610,720,,3103,5,1,10000,5116,1,1,10000,,,,,,,,,,,,,,,,
200090,拔刺,214025,720,,3103,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200091,夺取饰品,85610,720,,3103,5,1,10000,5116,1,1,10000,,,,,,,,,,,,,,,,
200092,大漠凶灵,85610,750,,3003,5,1,10000,3804,1,1,10000,,,,,,,,,,,,,,,,
200093,沙漠中的蝙蝠,25683,750,,3003,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200094,蝎子王,85610,1875,,3403,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200095,赤色凶兆,85610,750,,3403,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200096,滴血的骨头,135720,750,,3003,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200097,沙漠中的恶魔,135720,1875,,3103,5,1,10000,5116,1,1,10000,,,,,,,,,,,,,,,,
200098,镰刀,339300,780,,3103,5,1,10000,3804,1,1,10000,,,,,,,,,,,,,,,,
200099,夺取鱼骨,135720,780,,3003,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200100,如同恶梦,135720,780,,3003,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200101,屹立的魔鬼,135720,1950,,3303,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200102,箱体内的宝石,135720,780,,3103,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200103,石头非石头,339300,810,,3003,5,1,10000,5116,1,1,10000,,,,,,,,,,,,,,,,
200104,恶名昭彰,43770,2025,,3403,1,1,10000,3804,1,1,10000,5086,1,1,10000,,,,,,,,,,,,
200105,接触敌势力,43770,243,,3403,1,1,10000,5086,2,1,10000,,,,,,,,,,,,,,,,
200106,食人魔部落,43770,810,,3403,1,1,10000,5086,2,1,10000,,,,,,,,,,,,,,,,
200107,蜥蜴人部落,43770,825,,3104,1,1,10000,5086,2,1,10000,,,,,,,,,,,,,,,,
200108,烈风哥布林,109425,825,,3404,1,1,10000,5086,2,1,10000,,,,,,,,,,,,,,,,
200109,领袖莫洛,43770,2063,,3404,1,1,10000,5086,2,1,10000,,,,,,,,,,,,,,,,
200110,种子,993590,825,,3104,20,1,10000,3004,20,1,10000,3404,20,1,10000,,,,,,,,,,,,
200111,大漠树精,993590,825,,5086,1,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200112,泥巴侵袭,993590,825,,3804,3,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200113,毒沙漠,2483975,855,,3004,5,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200114,沙漠中的霸王,298077,2138,,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,,,,,
200115,为了和平,993590,257,,3404,5,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200116,对抗,1029140,855,,3004,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200117,羽毛,1029140,885,,3404,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200118,恐怖的巨人,2572850,885,,3804,1,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200119,魔像,1029140,2213,,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,,,,,
200120,两邦同盟,1029140,266,,3404,5,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200121,大漠苍龙,1029140,2213,,3004,5,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200122,通往奥梅亚斯,1067150,266,,3104,5,1,10000,3804,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200123,不安稳的通道,1067150,900,,3404,5,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200124,蜥蜴族的阻截,2667875,900,,3004,5,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200125,速度至上,320145,900,,3104,5,1,10000,3804,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200126,龙筋,1067150,900,,3004,5,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200127,蜥蜴人的王者,1067150,2250,,3104,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200128,雪岭布丁,1099460,900,,3404,5,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200129,冰雪之中,1099460,900,,3004,5,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200130,严寒之贼,2748650,930,,3104,5,1,10000,3804,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200131,珍贵药引,329838,930,,3404,5,1,10000,5116,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200132,大猫熊,2748650,2325,,3004,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200133,黑暗军团,329838,930,,3104,5,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200134,异形兵器,1123090,930,,3404,5,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200135,黑暗的军阀,1123090,2325,,3004,5,1,10000,5116,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200136,天霜,1123090,288,,3104,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
200137,坚硬,1123090,960,,3404,5,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200138,雪山猛兽,1123090,960,,3004,5,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200139,雪山凶灵,2807725,960,,3104,5,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200140,巨妖,1123090,960,,3404,5,1,10000,3804,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200141,风雪中的试炼,1123090,2438,,3805,2,1,10000,5086,1,1,10000,3805,3,1,10000,,,,,,,,,,,,
200142,严寒精怪,1132270,975,,3005,30,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200143,导火索,1132270,975,,3105,20,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200144,巨人族,2830675,975,,3405,20,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200145,迷醉之音,1132270,975,,3005,10,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200146,至高无上,1132270,2513,,3805,3,1,10000,5086,1,1,10000,5116,5,1,10000,,,,,,,,,,,,
200147,龙族使徒,2830675,302,,3005,10,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200148,抗寒草药,371406,1005,,3105,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200149,雪原狼群,1238020,1005,,3405,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200150,狼王,1238020,2513,,3005,10,1,10000,3805,3,1,10000,5086,1,1,10000,5116,5,1,10000,,,,,,,,
200151,单眼怪魔,1238020,1035,,3105,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200152,魔刃,1238020,1035,,3405,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200153,恶魔之心,3205400,2588,,3005,10,1,10000,3805,3,1,10000,5086,1,1,10000,5116,5,1,10000,,,,,,,,
200154,雪廊危机,1282160,311,,3105,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200155,魔物,1282160,1035,,3405,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200156,被盯着,1282160,1035,,3005,10,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200157,夺取镰刀,1282160,1065,,3105,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200158,水晶树,3401675,1065,,3405,8,1,10000,5116,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200159,千年之邪,408201,2663,,3005,10,1,10000,3805,3,1,10000,5086,1,1,10000,5116,5,1,10000,,,,,,,,
200160,发动进攻,1360670,320,,3105,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200161,虎虎虎,1360670,1065,,3405,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200162,追讨赃物,3401675,1065,,3005,10,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200163,火烧火燎,1360670,1095,,3105,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200164,腐臭,1360670,1095,,3405,8,1,10000,5116,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200165,再遇吉拉斯,3401675,2738,,3005,10,1,10000,3805,3,1,10000,5086,1,1,10000,5116,5,1,10000,,,,,,,,
200166,女王,408201,329,,3105,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200167,黑暗的奴仆,1360670,1095,,3405,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200168,血的滋味,1360670,1095,,3005,10,1,10000,5116,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200169,相见,1360670,2813,,3106,8,1,10000,3805,3,1,10000,5086,1,1,10000,5116,5,1,10000,,,,,,,,
200170,责任,1360670,338,,3406,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200171,猩红毒针,3401675,1125,,3006,10,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200172,特殊护卫队,408201,1125,,3106,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200173,幽暗之影,1360670,1125,,3406,8,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200174,血腥至上,1360670,1125,,3006,10,1,10000,5116,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200175,黑暗来临,1360670,2813,,3006,10,1,10000,3805,3,1,10000,5086,1,1,10000,5116,5,1,10000,,,,,,,,
210000,就职任务,128,5,,7002,1,1,10000,,,,,,,,,,,,,,,,,,,,
210001,就职任务,128,5,,7002,1,1,10000,,,,,,,,,,,,,,,,,,,,
210002,就职任务,128,5,,7002,1,1,10000,,,,,,,,,,,,,,,,,,,,
210003,就职任务,128,5,,7002,1,1,10000,,,,,,,,,,,,,,,,,,,,
210004,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210005,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210006,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210007,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210008,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210009,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210010,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210011,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210100,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210101,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210102,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210103,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210104,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210105,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210106,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210107,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210108,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210109,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210110,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
210111,就职任务,51,5,,,,,,,,,,,,,,,,,,,,,,,,,
220001,日常任务,17000,264,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220002,日常任务,17000,264,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220003,日常任务,17000,264,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220004,日常任务,17000,264,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220005,日常任务,17000,264,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220006,日常任务,17000,264,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220007,日常任务,17000,264,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220008,日常任务,17000,264,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220009,日常任务,17000,264,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220010,日常任务,17000,264,,5100,1,1,10000,5101,1,1,10000,3806,1,1,500,,,,,,,,,,,,
220011,日常任务,35000,344,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220012,日常任务,35000,344,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220013,日常任务,35000,344,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220014,日常任务,35000,344,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220015,日常任务,35000,344,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220016,日常任务,35000,344,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220017,日常任务,35000,344,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220018,日常任务,35000,344,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220019,日常任务,35000,344,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220020,日常任务,35000,344,,5100,1,1,10000,5101,1,1,10000,3806,1,1,500,,,,,,,,,,,,
220021,日常任务,110400,424,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220022,日常任务,110400,424,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220023,日常任务,110400,424,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220024,日常任务,110400,424,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220025,日常任务,110400,424,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220026,日常任务,110400,424,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220027,日常任务,110400,424,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220028,日常任务,110400,424,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220029,日常任务,110400,424,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220030,日常任务,110400,424,,5100,1,1,10000,5101,1,1,10000,3806,1,1,500,,,,,,,,,,,,
220031,日常任务,301000,504,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220032,日常任务,301000,504,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220033,日常任务,301000,504,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220034,日常任务,301000,504,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220035,日常任务,301000,504,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220036,日常任务,301000,504,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220037,日常任务,301000,504,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220038,日常任务,301000,504,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220039,日常任务,301000,504,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220040,日常任务,540000,504,,5100,1,1,10000,5101,1,1,10000,3806,1,1,500,,,,,,,,,,,,
220041,日常任务,540000,584,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220042,日常任务,540000,584,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220043,日常任务,540000,584,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220044,日常任务,540000,584,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220045,日常任务,540000,584,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220046,日常任务,540000,584,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220047,日常任务,540000,584,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220048,日常任务,540000,584,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220049,日常任务,540000,584,,5002,1,1,1000,,,,,,,,,,,,,,,,,,,,
220050,日常任务,540000,584,,5100,1,1,10000,5101,1,1,10000,3806,1,1,500,,,,,,,,,,,,
230001,通缉任务,33600,180,,1760,3,1,3000,1716,1,1,300,1756,1,1,500,,,,,,,,,,,,
230002,通缉任务,36800,186,,1760,3,1,3000,1716,1,1,300,1756,1,1,500,,,,,,,,,,,,
230003,通缉任务,40000,192,,1760,3,1,3000,1716,1,1,300,1756,1,1,500,,,,,,,,,,,,
230004,通缉任务,43200,198,,1760,3,1,3000,1716,1,1,300,1756,1,1,500,,,,,,,,,,,,
230005,通缉任务,46400,204,,1760,4,1,3000,1716,1,1,300,1756,1,1,500,,,,,,,,,,,,
230006,通缉任务,49600,210,,1760,4,1,3000,1716,1,1,300,1756,1,1,500,,,,,,,,,,,,
230007,通缉任务,54400,216,,1760,4,1,3000,1716,1,1,300,1756,1,1,500,,,,,,,,,,,,
230008,通缉任务,57600,222,,1760,5,1,3000,1716,1,1,300,1756,1,1,500,,,,,,,,,,,,
230009,通缉任务,62400,228,,1760,5,1,3000,1716,1,1,300,1756,1,1,500,,,,,,,,,,,,
230010,通缉任务,67200,234,,1760,5,1,3000,1716,1,1,300,1756,1,1,500,,,,,,,,,,,,
230011,通缉任务,72000,240,,1760,6,1,3000,1716,1,1,300,1756,1,1,500,,,,,,,,,,,,
230012,通缉任务,76800,246,,1760,6,1,3000,1716,1,1,300,1756,1,1,500,,,,,,,,,,,,
230013,通缉任务,81600,252,,1760,6,1,3000,1716,1,1,300,1756,1,1,500,,,,,,,,,,,,
230014,通缉任务,86400,258,,1760,7,1,3000,1716,1,1,300,1756,1,1,500,,,,,,,,,,,,
