ID,SkillName,NameEffectID,SkillDesc,SkillType,SelectedTarget,Pr,Lv,CastEffectAssetID,EffectAssetID,BeAttackAssetID,StateIDs,isMelee,isPhysic,GroupID,LearnGroup,cost,SkillTargetType,PassiveName,resIconName,resTextName,GloAction,GloCondition,Actions,Conditions,ImpactPropType,ImpactPropNum,LearnQuestID,LearnCoin,LevelUpNeedItem,exp,DontCare,LearnLv,SkillBack,SkillIconTex
1011,狂暴等级3,561,提升[ff6000]21％[-]的攻击力，降低[ff6000]15％[-]的防御力，20级可用。,SKT_Active,,1300,3,83,92,18,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,狂暴,1,26,STT_AllNoSelf,PAT_None,zhurenIcon_icon,zhurenText,"skill_zhuren_3(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,,,4502,7,,1,ICON_zhandou_jinengshifang_03_kuangbao_1.1.0.0,AF_zhandou_jinengshifang_03_kuangbao_1.1.0.0
1011,狂暴等级4,561,提升[ff6000]28％[-]的攻击力，降低[ff6000]20％[-]的防御力，30级可用。,SKT_Active,,5300,4,84,92,18,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,狂暴,1,34,STT_AllNoSelf,PAT_None,zhurenIcon_icon,zhurenText,"skill_zhuren_4(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,,,4503,8,,1,ICON_zhandou_jinengshifang_03_kuangbao_1.1.0.0,AF_zhandou_jinengshifang_03_kuangbao_1.1.0.0
1011,狂暴等级5,561,提升[ff6000]35％[-]的攻击力，降低[ff6000]25％[-]的防御力，40级可用。并且需要进阶为1转职业等级。,SKT_Active,,20600,5,84,92,18,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,狂暴,1,42,STT_AllNoSelf,PAT_None,zhurenIcon_icon,zhurenText,"skill_zhuren_5(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,,,4504,9,,1,ICON_zhandou_jinengshifang_03_kuangbao_1.1.0.0,AF_zhandou_jinengshifang_03_kuangbao_1.1.0.0
1011,狂暴等级6,561,提升[ff6000]42％[-]的攻击力，降低[ff6000]30％[-]的防御力，50级可用。并且需要进阶为1转职业等级。,SKT_Active,,96600,6,84,92,18,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,狂暴,1,50,STT_AllNoSelf,PAT_None,zhurenIcon_icon,zhurenText,"skill_zhuren_6(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,,,4505,10,,1,ICON_zhandou_jinengshifang_03_kuangbao_1.1.0.0,AF_zhandou_jinengshifang_03_kuangbao_1.1.0.0
1011,狂暴等级7,561,提升[ff6000]49％[-]的攻击力，降低[ff6000]35％[-]的防御力，60级可用。并且需要进阶为2转职业等级。,SKT_Active,,261600,7,85,92,18,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,狂暴,1,58,STT_AllNoSelf,PAT_None,zhurenIcon_icon,zhurenText,"skill_zhuren_7(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,,,4506,11,,1,ICON_zhandou_jinengshifang_03_kuangbao_1.1.0.0,AF_zhandou_jinengshifang_03_kuangbao_1.1.0.0
1011,狂暴等级8,561,提升[ff6000]56％[-]的攻击力，降低[ff6000]40％[-]的防御力，70级可用。并且需要进阶为2转职业等级。,SKT_Active,,621600,8,85,92,18,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,狂暴,1,66,STT_AllNoSelf,PAT_None,zhurenIcon_icon,zhurenText,"skill_zhuren_8(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,,,4507,12,,1,ICON_zhandou_jinengshifang_03_kuangbao_1.1.0.0,AF_zhandou_jinengshifang_03_kuangbao_1.1.0.0
1011,狂暴等级9,561,提升[ff6000]63％[-]的攻击力，降低[ff6000]45％[-]的防御力，80级可用。并且需要进阶为3转职业等级。,SKT_Active,,1271600,9,85,92,18,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,狂暴,1,74,STT_AllNoSelf,PAT_None,zhurenIcon_icon,zhurenText,"skill_zhuren_9(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,,,4508,13,,1,ICON_zhandou_jinengshifang_03_kuangbao_1.1.0.0,AF_zhandou_jinengshifang_03_kuangbao_1.1.0.0
1011,狂魔附身,561,提升[ff6000]70％[-]的攻击力，降低[ff6000]50％[-]的防御力，90级可用。并且需要进阶为3转职业等级。,SKT_Active,,,10,7,92,18,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,狂暴,1,82,STT_AllNoSelf,PAT_None,zhurenIcon_icon,zhurenText,"skill_zhuren_10(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,,,,,,1,ICON_zhandou_jinengshifang_03_kuangbao_1.1.0.0,AF_zhandou_jinengshifang_03_kuangbao_1.1.0.0
1021,反击等级1,516,给予物理攻击[ff6000]0.8[-]倍的伤害，8级可用。,SKT_Passive,,100,1,,,,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,反击,1,5,STT_Self,PAT_None,fanjiIcon_icon,fanjiText,"skill_fanji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,,1000,4500,5,,8,ICON_zhandou_jinengshifang_04_fanji_1.1.0.0,AF_zhandou_jinengshifang_04_fanji_1.1.0.0
1021,反击等级2,516,给予物理攻击[ff6000]0.9[-]倍的伤害，10级可用。,SKT_Passive,,400,2,,,,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,反击,1,10,STT_Self,PAT_None,fanjiIcon_icon,fanjiText,"skill_fanji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,,,4501,6,,8,ICON_zhandou_jinengshifang_04_fanji_1.1.0.0,AF_zhandou_jinengshifang_04_fanji_1.1.0.0
1021,反击等级3,516,给予物理攻击[ff6000]1.0[-]倍的伤害，20级可用。,SKT_Passive,,1300,3,,,,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,反击,1,15,STT_Self,PAT_None,fanjiIcon_icon,fanjiText,"skill_fanji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,,,4502,7,,8,ICON_zhandou_jinengshifang_04_fanji_1.1.0.0,AF_zhandou_jinengshifang_04_fanji_1.1.0.0
1021,反击等级4,516,给予物理攻击[ff6000]1.1[-]倍的伤害，30级可用。,SKT_Passive,,5300,4,,,,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,反击,1,20,STT_Self,PAT_None,fanjiIcon_icon,fanjiText,"skill_fanji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,,,4503,8,,8,ICON_zhandou_jinengshifang_04_fanji_1.1.0.0,AF_zhandou_jinengshifang_04_fanji_1.1.0.0
1021,反击等级5,516,给予物理攻击[ff6000]1.2[-]倍的伤害，40级可用。并且需要进阶为1转职业等级。,SKT_Passive,,20600,5,,,,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,反击,1,25,STT_Self,PAT_None,fanjiIcon_icon,fanjiText,"skill_fanji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,,,4504,9,,8,ICON_zhandou_jinengshifang_04_fanji_1.1.0.0,AF_zhandou_jinengshifang_04_fanji_1.1.0.0
