ID,ItemSubType,Number,Item,ItemNumber
102058,IST_EmployeeDebris,60,2058,1
102059,IST_EmployeeDebris,40,2059,1
102060,IST_EmployeeDebris,20,2060,1
102068,IST_EmployeeDebris,80,2061,1
102069,IST_EmployeeDebris,80,2062,1
102070,IST_EmployeeDebris,80,2063,1
102071,IST_EmployeeDebris,80,2064,1
102072,IST_EmployeeDebris,80,2065,1
102073,IST_EmployeeDebris,80,2066,1
102074,IST_EmployeeDebris,80,2067,1
102075,IST_EmployeeDebris,80,2068,1
102076,IST_EmployeeDebris,80,2069,1
102077,IST_EmployeeDebris,80,2070,1
100001,IST_BabyDebris,80,1,1
100003,IST_BabyDebris,30,3,1
100005,IST_BabyDebris,30,5,1
100009,IST_BabyDebris,50,9,1
100017,IST_BabyDebris,30,17,1
100018,IST_BabyDebris,80,18,1
100026,IST_BabyDebris,80,26,1
100027,IST_BabyDebris,80,27,1
100028,IST_BabyDebris,50,28,1
100030,IST_BabyDebris,50,30,1
100033,IST_BabyDebris,50,33,1
100034,IST_BabyDebris,80,34,1
100045,IST_BabyDebris,30,45,1
100051,IST_BabyDebris,30,51,1
100054,IST_BabyDebris,30,54,1
100058,IST_BabyDebris,50,58,1
100059,IST_BabyDebris,50,59,1
100061,IST_BabyDebris,50,61,1
100062,IST_BabyDebris,80,62,1
100065,IST_BabyDebris,120,65,1
100067,IST_BabyDebris,30,67,1
100077,IST_BabyDebris,80,77,1
100106,IST_BabyDebris,80,106,1
110001,IST_BabyDebris,80,10001,1
110002,IST_BabyDebris,50,10002,1
110003,IST_BabyDebris,30,10003,1
110004,IST_BabyDebris,80,10004,1
110005,IST_BabyDebris,50,10005,1
110006,IST_BabyDebris,30,10006,1
110007,IST_BabyDebris,120,10007,1
110008,IST_BabyDebris,80,10008,1
110009,IST_BabyDebris,50,10009,1
110011,IST_BabyDebris,80,10011,1
110013,IST_BabyDebris,80,10013,1
110014,IST_BabyDebris,50,10014,1
110016,IST_BabyDebris,50,10016,1
110017,IST_BabyDebris,50,10017,1
110018,IST_BabyDebris,50,10018,1
110019,IST_BabyDebris,50,10019,1
110020,IST_BabyDebris,120,10020,1
110023,IST_BabyDebris,80,10023,1
110025,IST_BabyDebris,30,10025,1
110026,IST_BabyDebris,30,10026,1
110028,IST_BabyDebris,120,10028,1
110030,IST_BabyDebris,120,10030,1
110032,IST_BabyDebris,120,10032,1
110033,IST_BabyDebris,120,10033,1
110036,IST_BabyDebris,50,10036,1
110038,IST_BabyDebris,30,10038,1
110039,IST_BabyDebris,80,10039,1
110040,IST_BabyDebris,30,10040,1
110041,IST_BabyDebris,30,10041,1
110043,IST_BabyDebris,80,10043,1
110048,IST_BabyDebris,30,10048,1
110049,IST_BabyDebris,30,10049,1
110051,IST_BabyDebris,30,10051,1
110052,IST_BabyDebris,80,10052,1
110053,IST_BabyDebris,80,10053,1
110054,IST_BabyDebris,50,10054,1
110055,IST_BabyDebris,50,10055,1
110057,IST_BabyDebris,30,10057,1
110058,IST_BabyDebris,30,10058,1
110059,IST_BabyDebris,50,10059,1
110061,IST_BabyDebris,30,10061,1
110063,IST_BabyDebris,30,10063,1
110064,IST_BabyDebris,80,10064,1
110066,IST_BabyDebris,50,10066,1
110067,IST_BabyDebris,120,10067,1
110068,IST_BabyDebris,30,10068,1
110069,IST_BabyDebris,120,10069,1
110070,IST_BabyDebris,120,10070,1
110071,IST_BabyDebris,50,10071,1
110072,IST_BabyDebris,80,10072,1
110073,IST_BabyDebris,30,10073,1
110074,IST_BabyDebris,30,10074,1
110076,IST_BabyDebris,30,10076,1
110078,IST_BabyDebris,120,10078,1
110080,IST_BabyDebris,80,10080,1
110081,IST_BabyDebris,80,10081,1
110082,IST_BabyDebris,50,10082,1
110083,IST_BabyDebris,30,10083,1
110084,IST_BabyDebris,30,10084,1
110087,IST_BabyDebris,30,10087,1
110088,IST_BabyDebris,30,10088,1
110090,IST_BabyDebris,50,10090,1
110091,IST_BabyDebris,120,10091,1
110092,IST_BabyDebris,80,10092,1
110094,IST_BabyDebris,30,10094,1
110095,IST_BabyDebris,80,10095,1
110096,IST_BabyDebris,30,10096,1
110098,IST_BabyDebris,30,10098,1
110099,IST_BabyDebris,80,10099,1
110100,IST_BabyDebris,80,10100,1
110101,IST_BabyDebris,80,10101,1
110102,IST_BabyDebris,80,10102,1
110103,IST_BabyDebris,80,10103,1
110104,IST_BabyDebris,50,10104,1
110105,IST_BabyDebris,120,10105,1
110106,IST_BabyDebris,50,10106,1
110107,IST_BabyDebris,30,10107,1
110108,IST_BabyDebris,30,10108,1
110111,IST_BabyDebris,50,10111,1
110113,IST_BabyDebris,120,10113,1
110114,IST_BabyDebris,80,10114,1
110115,IST_BabyDebris,80,10115,1
110116,IST_BabyDebris,80,10116,1
110118,IST_BabyDebris,30,10118,1
110121,IST_BabyDebris,50,10121,1
110122,IST_BabyDebris,120,10122,1
110123,IST_BabyDebris,50,10123,1
110124,IST_BabyDebris,50,10124,1
110125,IST_BabyDebris,120,10125,1
110126,IST_BabyDebris,120,10126,1
110127,IST_BabyDebris,80,10127,1
110128,IST_BabyDebris,120,10128,1
110130,IST_BabyDebris,120,10130,1
110131,IST_BabyDebris,50,10131,1
110132,IST_BabyDebris,30,10132,1
110133,IST_BabyDebris,80,10133,1
110135,IST_BabyDebris,80,10135,1
110136,IST_BabyDebris,80,10136,1
110137,IST_BabyDebris,80,10137,1
110138,IST_BabyDebris,80,10138,1
110140,IST_BabyDebris,80,10140,1
110141,IST_BabyDebris,80,10141,1
110142,IST_BabyDebris,80,10142,1
110143,IST_BabyDebris,50,10143,1
110149,IST_BabyDebris,80,10149,1
110150,IST_BabyDebris,120,10150,1
110151,IST_BabyDebris,120,10151,1
110152,IST_BabyDebris,50,10152,1
110153,IST_BabyDebris,30,10153,1
110154,IST_BabyDebris,30,10154,1
110156,IST_BabyDebris,30,10156,1
110157,IST_BabyDebris,120,10157,1
110159,IST_BabyDebris,80,10159,1
110160,IST_BabyDebris,120,10160,1
110161,IST_BabyDebris,120,10187,1
110162,IST_BabyDebris,120,10188,1
110163,IST_BabyDebris,120,10189,1
110164,IST_BabyDebris,120,10190,1
110165,IST_BabyDebris,120,10191,1
110166,IST_BabyDebris,120,10192,1
110167,IST_BabyDebris,120,10193,1
110168,IST_BabyDebris,120,10194,1
110169,IST_BabyDebris,120,10195,1
110170,IST_BabyDebris,120,10196,1
110171,IST_BabyDebris,120,10197,1
110172,IST_BabyDebris,120,10198,1
110173,IST_BabyDebris,120,10199,1
120000,IST_BabyDebris,80,20000,1
120001,IST_BabyDebris,120,20001,1
120002,IST_BabyDebris,120,20002,1
120003,IST_BabyDebris,120,20003,1
120004,IST_BabyDebris,120,20004,1
120005,IST_BabyDebris,80,20005,1
120006,IST_BabyDebris,120,20006,1
120007,IST_BabyDebris,120,20007,1
120008,IST_BabyDebris,120,20008,1
120009,IST_BabyDebris,120,20009,1
120010,IST_BabyDebris,120,20010,1
120011,IST_BabyDebris,120,20011,1
130000,IST_BabyDebris,50,30000,1
130001,IST_BabyDebris,150,30001,1
130002,IST_BabyDebris,80,30002,1
130003,IST_BabyDebris,120,30003,1
130004,IST_BabyDebris,120,30004,1
130006,IST_BabyDebris,80,30006,1
130007,IST_BabyDebris,150,30007,1
130008,IST_BabyDebris,120,30008,1
130009,IST_BabyDebris,150,30009,1
130010,IST_BabyDebris,120,30010,1
130011,IST_BabyDebris,150,30011,1
130012,IST_BabyDebris,80,30012,1
130013,IST_BabyDebris,200,10162,1
102061,IST_ItemDebris,10,102062,1
102063,IST_ItemDebris,10,102064,1
102065,IST_ItemDebris,100,102066,1
7050,IST_ItemDebris,130,7040,1
7051,IST_ItemDebris,100,7041,1
7052,IST_ItemDebris,75,7042,1
7053,IST_ItemDebris,50,7043,1
7054,IST_ItemDebris,30,7044,1
1790,IST_ItemDebris,50,1770,1
1791,IST_ItemDebris,50,1771,1
1792,IST_ItemDebris,50,1772,1
1793,IST_ItemDebris,50,1773,1
1794,IST_ItemDebris,50,1774,1
1795,IST_ItemDebris,50,1775,1
1796,IST_ItemDebris,50,1776,1
1797,IST_ItemDebris,50,1777,1
1798,IST_ItemDebris,50,1778,1
1799,IST_ItemDebris,50,1779,1
1800,IST_ItemDebris,50,1780,1
1801,IST_ItemDebris,50,1781,1
1802,IST_ItemDebris,50,1782,1
1803,IST_ItemDebris,50,1783,1
1804,IST_ItemDebris,50,1784,1
1805,IST_ItemDebris,50,1785,1
1806,IST_ItemDebris,50,1786,1
1807,IST_ItemDebris,50,1787,1
1808,IST_ItemDebris,50,1788,1
1809,IST_ItemDebris,50,1789,1
