talk,npcid1,content1,npcid2,content2,npcid3,content3,npcid4,content4,npcid5,content5,npcid6,content6,npcid7,content7,npcid8,content8,npcid9,content9,npcid10,content10,BattleID
17,-1,您好，我是#name#，来自聂拉维尔王城的冒险者，是比莫夫村长让我来这里的，这是他的引荐函，我希望能够跟您学习职业之道。,101,比莫夫村长真是会为我添麻烦……并不是每个人都有法师天赋的，让我给你一个试炼吧，在伊利斯村路口那里，有一个小型火元素，你去击败他，然后拿回一个火元素精华吧。,,,,,,,,,,,,,,,,,
18,101,我要的火元素在哪里？,,,,,,,,,,,,,,,,,,,
19,-1,这是您需要的火元素。,101,恩……很好，现在让我教导你成为一名真正的法师吧……（开始指导）,-1,我感觉现在体内充满了魔能……,101,善用自己的魔能，魔能可是会损耗的，所以不要随便使用法术，拿着这个冒险者信物，回去找比莫夫村长吧，以后也别来打扰我的清修了。,,,,,,,,,,,,,
20,-1,您好，我是#name#，来自聂拉维尔王城的冒险者，是比莫夫村长让我来这里的，这是他的引荐函，我希望能够跟您学习职业之道。,102,额……跟我学习？比莫夫村长怎么会提到我这样微不足道的小人物……我什么都不会呀……,-1,……比莫夫村长说，你是一个牧师……,102,额……对……不过其实我也教不了你什么……你还是先帮帮我吧，在村子里有一个可怕的鬼啊！鬼！虽然我是牧师，但我还是很怕鬼，你帮我赶走他吧！,,,,,,,,,,,,,
21,102,那个鬼还在村子里转悠呢！我好害怕鬼啊！谁来救救我！,,,,,,,,,,,,,,,,,,,
22,-1,那个捣蛋鬼已经被我赶走了，你不用在害怕了。,102,太……太好了！终于没有可怕的鬼纠缠我了，现在……那个……让我来告诉你一下如何成为一个牧师吧……（开始指导）,-1,创世神格拉果然是最伟大的，我会永远信奉格拉的教规。,102,那个……那么你就是一个真正的牧师了……拿着这个冒险者信物吧，你可以回去找比莫夫村长了……,,,,,,,,,,,,,
23,-1,您好，我是#name#，来自聂拉维尔王城的冒险者，是比莫夫村长让我来这里的，这是他的引荐函，我希望能够跟您学习职业之道。,103,真是讨厌！比莫夫介绍来的家伙肯定不会让我有钱赚的！你还是赶快给我走开的好，我什么都教不了你，别碍着老娘发财，赶快给我走远点！,-1,你不能这么做！比莫夫村长明明告诉我你可以教导我成为一名真正的佣兵的。,103,（真是麻烦死了，如果不教导这个菜鸟游民成为佣兵，比莫夫那个老家伙一定不会让我继续住在这里了）好吧！你听着，我最近接了一单针对盗匪的活儿，但数量有点多，我一个人不好应付，你就在伊利斯村周围帮我干掉一些盗匪吧。,,,,,,,,,,,,,
24,103,你到底要不要干掉那些盗匪啊？别总在这里耽误老娘我的时间！,,,,,,,,,,,,,,,,,,,
25,-1,我已经干掉不少盗匪了，还不够吗？,103,是吗？让我算一下……没问题了！这些赏金是老娘我的了！哈哈哈！发财了！而你嘛，我就给你讲解一下 佣兵最重要的是什么吧……（开始指导）,-1,佣兵可以为了佣金不择手段？这好像太……,103,这是我的经验之谈，你想做一个怎样的佣兵是你的事儿，现在拿好这个冒险者信物，然后给老娘我滚得远远的！老娘我要去换佣金了，别碍我事！,,,,,,,,,,,,,
26,-1,您好，我是#name#，来自聂拉维尔王城的冒险者，是比莫夫村长让我来这里的，这是他的引荐函，我希望能够跟您学习职业之道。,104,比莫夫村长介绍来的吗？那想必你有着忠诚且勇敢的心，不过我需要给你一个试炼，这附近的盗匪非常猖獗，你去夺取一些他们的匕首吧，这算是给他们一些教训。,,,,,,,,,,,,,,,,,
27,104,我要的盗匪匕首在哪里？可不要糊弄哦，我们所做的这一切都是为了伊利斯村的村民！,,,,,,,,,,,,,,,,,,,
28,-1,这是您所需要的盗匪匕首。,104,很好！伊利斯村的村民会记住你的善举的，现在就让我麦克斯，来指导你成为一名真正的骑士吧……（开始指导）,-1,我将誓死尊崇骑士之道，将忠诚与正义贯彻至终！,104,很好，我相信你会成为一名非常了不起的骑士，拿着这个冒险者信物回去找比莫夫村长吧，祝你一切顺利。,,,,,,,,,,,,,
29,-1,您好，我是#name#，来自聂拉维尔王城的冒险者，是比莫夫村长让我来这里的，这是他的引荐函，我希望能够跟您学习职业之道。,105,嗯……想不到我这个瞎子还有教导新人的作用，呵呵，年轻人，不用在意我所说的话，去完成我给你的一个试炼吧，这附近的盗匪中，有一个叫做巴托的恶徒，他作恶多端，去终结他吧。,,,,,,,,,,,,,,,,,
30,105,我眼盲，但心不盲，等你终结了巴托的性命，再回来找我吧。,,,,,,,,,,,,,,,,,,,
31,-1,我已经将巴托杀死了，他不会再作恶了。,105,很好……你完成了我这个瞎子无法完成的任务，现在就让我来告诉你如何才能成为一名剑士吧……（开始指导）,-1,剑术真是一种了不起的技术，我一定会好好修习的。,105,恩，剑术就是要不停的磨练才能够变得更强，现在拿着这个冒险者信物，比莫夫村长会知道你已经通过了剑士之道。,,,,,,,,,,,,,
32,2,关于格拉之泪，我已经无法再告诉你更多了，不过有一个人，对于格拉之泪要比我清楚的多，你应该去找他问一问。,-1,那个人是谁？,2,那就是有名的死灵法师科托，他在伊利斯山的另一端，有一间实验室，不过要小心，这个科托可不是什么好说话的人。,-1,在伊利斯山的另一端吗？我要怎样才能翻过这座险峻的高山？,2,从伊利斯山洞可以穿过去，在伊利斯山洞入口处，我们村子的守卫伊万就在那里站岗，你可以去找他询问一下该如何穿过山洞。,,,,,,,,,,,
33,2,你还不快去寻找格拉之泪，留在这里做什么？还不赶快走！,,,,,,,,,,,,,,,,,,,
34,4,喂！你在这里做什么？这里很危险的！赶快给我离开！,-1,您好，我是#name#，来自聂拉维尔王城的冒险者，比莫夫村长告诉我，我可以穿过伊利斯山洞前往科托实验室,4,是比莫夫村长让你来的呀，那你应该很有实力，正好我需要别人的帮助呢。,,,,,,,,,,,,,,,
35,4,#name#，这个山洞内有很多讨人厌的蝙蝠，他们十分难缠，你要想平安穿过伊利斯山洞，就必须清除掉一些蝙蝠。,-1,那交给我好了，我必须穿过山洞去见那个死灵法师科托。,,,,,,,,,,,,,,,,,
36,4,#name#，你还没解决这里的问题吗？这样不行呀，不解决问题，你是很难穿过伊利斯山洞的。,,,,,,,,,,,,,,,,,,,
37,-1,这里的蝙蝠已经被我解决的差不多了。,4,#name#，好样的，你真是一个了不起的人。,,,,,,,,,,,,,,,,,
38,4,#name#，我告诉你，你要想穿过伊利斯山洞，到达山的另一端，就必须在山洞出口那里跟一个可怕的家伙交手。,-1,可怕的家伙？那是一个怎样的对手？,4,那是一个牛头人，这个牛头人常年占据伊利斯山洞深层，没人敢靠近他身边，所以你一定要小心。,-1,我会小心的。,4,对了，我的双胞胎兄弟伊卡就守在山洞的另一端，你可以去见见他。,,,,,,,,,,,
39,5,天哪！竟然有人能从可怕的伊利斯山洞穿过来，你究竟是什么人呀？,-1,我是#name#，来自聂拉维尔王城的冒险者，正要去科托实验室找寻死灵法师科托，您就是伊卡吧。,5,天哪！竟然有勇气去见那个可怕的死灵法师，你究竟是傻还是勇敢？伊万在那边竟然没有阻止你，想必你是很有实力的嘛。,,,,,,,,,,,,,,,
40,5,天哪！你还真想进入科托实验室？你个不要命的家伙，科托实验室里有很多可怕的不死生物，都是科托用死灵法术将尸体复活而成的。,-1,科托为什么要这么做？,5,天哪！你都不了解科托竟然还要去见他？科托可是一个死灵法师！他希望建立不死军团！你真想去见他，就多消灭一点他的手下吧！,,,,,,,,,,,,,,,
41,5,天哪！你要放弃了吗？不过我倒是很同意你放弃去见科托，毕竟那样太危险了！,,,,,,,,,,,,,,,,,,,
42,-1,科托实验室的不死生物果然非常多，看来科托果然是一个可怕的人，要面对他，我可不能掉以轻心。,5,天哪！你竟然刚知道呀！我劝你还是放弃吧！,,,,,,,,,,,,,,,,,
43,5,天哪！你竟然还一意孤行的要去见科托，这么不要命，那这样吧，你去帮我收集一些骷髅头骨，我用骷髅头骨给你做一个有用的道具。,-1,是什么道具？,5,科托实验室里最可怕的不是僵尸和骷髅，而是个阴影，那是科托最可怕的手下，你需要一个具有不死生物气息的附魔物来抵抗他的侵害。,-1,原来如此，那么我现在就去收集骷髅头骨。,,,,,,,,,,,,,
44,-1,这些骷髅头骨够用吗？,5,天哪！你竟然收集了这么多骷髅头骨！那我现在可以开始为你制作抵御那个可怕阴影的附魔物了，我管这个叫做亡灵抵御剂。,,,,,,,,,,,,,,,,,
45,5,天哪！我终于做好这个亡灵抵御剂了！我把它交给你了！你面对科托实验室的阴影时，一定要小心呀！,-1,多谢了，我现在就赶往科托实验室。,5,对了，要想对付这个恐怖的阴影，以你现在的武器，很难与他抗衡的，现在我就教你一些打造装备的技巧吧。,,,,,,,,,,,,,,,
46,6,咦？你这个人是从哪里冒出来的？难道是要抢夺我货物的盗匪？,-1,你别紧张，我是#name#，来自聂拉维尔王城的冒险者，请告诉我这里是哪里。,6,你来自聂拉维尔？那够远的呀，穿过前方的甲壳山洞，就可以到达罗德里镇了，这里可是离着聂拉维尔远着呢。,-1,……（我竟然来到罗德里镇附近了，这里不属于聂拉维尔境内了，看来科托实验室的密门是一个传送门，我在这里该如何找寻科托呢）,,,,,,,,,,,,,
47,2,你捕捉过宠物吗？,-1,没有……一直很想尝试，但一直没有机会……,2,身为一个冒险者，竟然都没有捕捉过宠物！真是耻辱！还有，你没捕捉过宠物，那你身边的宠物是怎么来的，莫非是偷来的？,-1,当然不是啦，这是克里斯王送给我的宠物伙伴！,2,哼！那么我这里有个让你捕捉宠物的机会，这个村子里有一个讨厌的僵尸，你马上去捕捉它吧！,,,,,,,,,,,
48,-1,比莫夫村长，我将僵尸带回来了！,2,嗯，捕捉宠物很有意思吧，以后见到喜欢的宠物，就去大胆捕捉吧！,-1,我明白了！太好了！我有两个宠物了！,,,,,,,,,,,,,,,
49,6,#name#大人，您是想要穿过甲壳山洞，前往罗德里镇吗？,-1,是呀，既然来了这里，我也没地方可去了，就先到罗德里镇那边探探究竟吧。,6,您之前说来自聂拉维尔，为何要来到罗德里镇呢？,-1,我正在追寻一个叫做科托的死灵法师，我是由他的实验室内的传送门来到这边的。,6,是科托大人吗？我们来做笔买卖吧，这个甲壳荒地，有很多可怕的毒蝎，您帮我消灭一些毒蝎，我就来告诉您科托大人的去处吧。,-1,好！说定了！,,,,,,,,,
50,6,#name#大人，我们还要不要继续做买卖呢？我需要好好思考下了。,,,,,,,,,,,,,,,,,,,
51,-1,我帮你搞定那些毒蝎了。,6,#name#大人，真是感谢您的帮助了，下面让我们聊聊科托大人的事情吧。,,,,,,,,,,,,,,,,,
52,6,罗德里镇镇长耶鲁卡夫与科托大人可是莫逆之交，您要想找科托大人，可以去罗德里镇找耶鲁卡夫镇长问问究竟。,-1,如果是这样的话，那么我就去罗德里镇见一见这位耶鲁卡夫村长。,6,不过在去之前，请先帮我击败这附件的炸弹魔，那个家伙实在是太讨厌了。,-1,嗯，我会先帮助你的，然后马上去见耶鲁卡夫镇长。,,,,,,,,,,,,,
53,-1,请问，您就是罗德里镇的耶鲁卡夫镇长吗？,7,老夫正是，你又是何人？找老夫做什么？,-1,我是#name#，来自聂拉维尔王城的冒险者，我有事相求于您。,,,,,,,,,,,,,,,
54,-1,耶鲁卡夫镇长，我正在找寻死灵法师科托，听说您跟他很熟，您知不知道他去哪里了？,7,哼！你找科托做什么？你若是科托的敌人，老夫我怎么会告诉你科托的去处！,-1,我并不是科托的敌人，我只是想问问他关于传说中的神器格拉之泪的事情。,7,格拉之泪？原来如此，老夫明白了，你若是想找科托，就必须帮助老夫处理一些事务。,-1,明白了，交给我吧。,7,在甲壳洞穴，那里的食人魔经常会威胁罗德里镇的居民，我要你帮助我去消灭一些食人魔。,,,,,,,,,
55,7,老夫要思考的事情还有很多，无事的话就不要来打扰老夫。,,,,,,,,,,,,,,,,,,,
56,-1,耶鲁卡夫镇长，我消灭了不少食人魔，这下应该没事了吧。,7,恩……不好说，老夫觉得一切都没这么简单。,,,,,,,,,,,,,,,,,
57,7,看来老夫的决议激怒了食人魔，有名的食人魔奥兹带领一批食人魔冲入了罗德里镇，现在我们要阻止那个家伙对这里的侵害。,-1,这些食人魔竟然如此胆大！我一定要阻止他们，不然罗德里镇就危险了！,7,凭你自己时无法阻止食人魔的，食人魔的小走卒就交给老夫这边了，而食人魔奥兹就要靠你来对付了。,-1,我该怎么办？,7,在城堡里招募一些冒险者然后去组队对付奥兹吧，他非常强大的。,,,,,,,,,,,
58,-1,我和我的队友们一起击败食人魔奥兹了，幸好和队友组队了，不然我一个人真是对付不了奥兹呀。,7,嗯，老夫说过，一个人的力量是有限的，你能明白这个道理，以后才不会吃亏。,,,,,,,,,,,,,,,,,
59,7,甲壳洞穴中有很多哥布林走卒，这些哥布林数量众多，老夫希望你能去夺取一些哥布林长矛，没了武器，这些哥布林就成废物了。,-1,交给我好了，让我来处理这些烦人的家伙。,,,,,,,,,,,,,,,,,
60,-1,哥布林真是一群胆小怕事的生物呀。,7,哥布林这种生物，只要没有了领袖，就会变得一盘散沙。,,,,,,,,,,,,,,,,,
61,7,为了彻底结束食人魔对罗德里镇的威胁，老夫决定对食人魔进行全面的讨伐。,-1,有什么需要我做的吗？,7,你是老夫发动的这场战役成败的关键，我需要你前往甲壳洞穴，直接去挑战食人魔首领克洛，如果击溃了他，那么我们就能占据优势。,-1,那交给我好了！,,,,,,,,,,,,,
62,-1,食人魔首领克洛已经被击败了，现在那些食人魔已经对罗德里镇构不成什么威胁了。,7,很好，这下老夫总算可以安心一些了。,,,,,,,,,,,,,,,,,
63,7,老夫对于你的帮助，十分感激。,-1,那您可以告诉我死灵法师科托的去处吗？,7,嗯……罗德里镇现在需要重建，假如你帮助了这里的居民，我就会告诉你科托的去处，先去找木匠麦尔吧，他正寻求帮助呢。,-1,好的，我会尽力帮助大家的。,,,,,,,,,,,,,
64,-1,你就是木匠麦尔吗？听说你正在寻求帮助？,8,正是！没错！绝对的！您就是保卫了罗德里镇和平的#name#大人吧？我对您的崇拜犹如滔滔江水连绵不绝！,,,,,,,,,,,,,,,,,
65,8,#name#大人！快来帮帮我吧！快来帮帮罗德里镇吧！,-1,你能不能别这么激动……需要帮什么忙，就直说好了。,8,罗德里镇的很多房子都需要重建！但我现在没有木材啊！在城镇小径有很多树精！您帮我击败他们吧！这样就有木材了！,-1,好吧……交给我好了……,,,,,,,,,,,,,
66,8,有谁能来帮帮我啊！有谁能来帮帮我啊！,,,,,,,,,,,,,,,,,,,
67,-1,这里的木材足够了吧。,8,太好了！太好了！足够了！足够了！您太伟大了！你太伟大了！,,,,,,,,,,,,,,,,,
68,3,……去找……比莫夫……,-1,额？啊？,3,学习……很快……会结束……然后……找……比莫夫……,,,,,,,,,,,,,,,
69,-1,比莫夫村长，宠物训练师已经教导我的宠物新的技能了。,2,很好，这下你的宠物就可以帮助你更多了。,,,,,,,,,,,,,,,,,
70,2,你的宠物看起来还没有学习任何战斗技巧呀。,-1,宠物还能学战斗技巧？,2,愚蠢！你竟然连这个都不知道！伊利斯村里就有个宠物训练师，你去他那里学习一下有关于宠物战斗技巧的问题吧！,-1,好的，这方面我确实不太懂，我现在就去那里学习一下。,,,,,,,,,,,,,
71,-1,您就是宠物训练师吗？请教授我宠物的战斗技巧。,3,……,-1,……（这个人是个哑巴吗）,,,,,,,,,,,,,,,
72,8,#name#大人！#name#大人！#name#大人！,-1,别胡乱喊我的名字……,8,有人需要帮助！有人需要帮助！有人需要帮助啊！罗德里镇的厨娘莉莉需要帮助啊！,-1,好吧，我去看看她，但你不要在瞎喊我名字了。,,,,,,,,,,,,,
73,-1,我是#name#，你就是莉莉吧，请问我有什么可以为你做的？,9,啊！您就是拯救了罗德里镇的#name#大人呀，我好崇拜您，我可以称呼您偶像吗？,,,,,,,,,,,,,,,,,
74,9,偶像！偶像你要帮助人家哦！大家为了重建罗德里镇，都十分辛苦的，人家想为大家做一顿美食，可是还缺了一件食材哦。,-1,你还需要什么？尽管跟我说好了，我会帮助你的。,9,嗯嗯！偶像就是偶像哦！我还缺蜂蜜哦！有了蜂蜜，我就能做出一顿大餐了！,-1,好的，我会去帮助你找寻蜂蜜的，城镇小径那边有大黑熊，我去狩猎一下。,,,,,,,,,,,,,
75,9,哎呀，人家已经忙不过来了，好讨厌的感觉哦。,,,,,,,,,,,,,,,,,,,
76,-1,这些蜂蜜够了吗？,9,够啦！够啦！偶像就是偶像！接下来我要为大家做出一份美味大餐啦！,-1,这样就好，还有什么需要我帮助的吗？,9,偶像！这是神器！您要拿好哦！这是有人让我给您的，神器非常了不起，不要的装备可以用来增加神器的力量哦。,-1,这么好的东西……究竟是谁给我的？,,,,,,,,,,,
77,9,偶像！在罗德里镇附近，有一个很了不起的隐士哦，您应该去见见他，这个神器就是他给您的。,-1,隐士吗？给了我神器，看来我需要跟他见一见了。,9,其实呢，是耶鲁卡夫镇长让我通知您去见那个隐士的，那肯定是对偶像您有帮助的，您就去吧！,-1,……（莫非这个隐士知道一些科托的事情？）那好吧，我会去见见这个隐士的。,,,,,,,,,,,,,
78,-1,请问您……,10,稍安勿躁……让吾静静的看一看海与天之间的联系吧……,,,,,,,,,,,,,,,,,
79,10,吾听耶鲁卡夫之言，汝正在寻找科托，以探寻格拉之泪事宜？,-1,正是！请先生您赐教。,10,吾乃一介无名之徒麦哲伦，休要称呼吾为先生，汝名唤#name#？,-1,是的！请您告诉我科托的去处！,10,科托去往何处，吾自不详，但关于格拉之泪，却略知一二，汝先除却这贝拉海滩之上一些大钳蟹，回来再言。,,,,,,,,,,,
80,10,年轻人，做事可不能半途而废，这样的话，汝将一事无成。,,,,,,,,,,,,,,,,,,,
81,-1,麦哲伦老师，我已经赶走了不少大钳蟹了。,10,很好，赶走大钳蟹很好，老师这个称谓更是好。,-1,麦哲伦老师，关于格拉之泪，您知道些什么吗？,10,格拉之泪，吾早年听闻，它最后一次是出现在了百余年前皇国之中，因它引起了残酷的皇室争斗。,-1,皇国？格拉维斯特吗？竟然会这样……然后呢？,10,呵呵，今日已经说得够多了，剩下的，日后再论吧。,,,,,,,,,
82,10,在罗德里镇附近，有一个位于海中的试炼山洞，吾曾经在那里锻炼自身能力，真是怀念。,-1,哦？这是一个可以锻炼自身能力的地方吗？那我真想快点去那里锻炼一下自己！,10,呵呵，很好，看来汝也是一个严苛要求自己的冒险者，汝去吧，那里有个叫做海底龟的生物，十分可怕，切记小心为上。,,,,,,,,,,,,,,,
83,-1,麦哲伦老师，我在试炼山洞内击败了很多海底龟哦！,10,呵呵，汝很强，吾很欣慰。,,,,,,,,,,,,,,,,,
84,10,在试炼山洞之中，有一种吸血海蝙蝠，他们的牙齿是非常好的药材，吾现在正需要此物。,-1,麦哲伦老师，既然您需要这种吸血海蝙蝠的牙齿，那么我就替您收集吧，等我回来，请继续告诉我有关格拉之泪的故事。,10,如此甚好。,,,,,,,,,,,,,,,
85,-1,麦哲伦老师，这些吸血海蝙蝠的牙齿够用了吗？,10,足矣，汝真是厉害。,-1,那您能继续告诉我有关格拉之泪的故事了吧？,10,传闻，当时皇国的三皇子莫伦获得了格拉之泪的力量，从而借此控制了皇权。目前吾只能说这些，剩下的，稍后吧。,,,,,,,,,,,,,
86,10,吾在最后跟汝说一说格拉之泪的事情吧，尔后汝就可以去见一见耶鲁卡夫了，吾已无多少可告知与汝了。,-1,多谢麦哲伦老师了！,10,皇国的莫伦王，没人知道他是如何逝去的，因为他是在某日突然失踪的，没人知道他去了哪里，毫无预兆，悄无声息。,-1,竟然这么神秘……没有人研究过为什么会这样吗？,10,有无数学者研究过这件事，可是都没有结论，也就不了了之了。但吾认为，这件事必须要搞清楚，据闻科托多年来，也在调查此事。,-1,果然科托就是追寻格拉之泪的重要线索，我现在马上去见耶鲁卡夫镇长，麦哲伦老师，再会了！,10,嗯，汝去吧，吾终会有一日，再与汝相逢。,,,,,,,
87,7,你来了，老夫等你很久了，想必老麦哲伦对你说了很多。,-1,是的，麦哲伦老师跟我讲了很多关于格拉之泪的事情。,7,嗯……很感谢你帮助罗德里镇，那么接下来，我会告诉你科托的去处。,,,,,,,,,,,,,,,
88,7,你要找寻的科托早已去了巴尔克斯坦，他告诉我，经过多年的研究，对于格拉之泪已然有了进一步的认识。,-1,果然科托非常了解格拉之泪的情况呀！那么我一定要找到他。,7,想要去巴尔克斯坦，可没那么容易，试炼山洞中目前遍布怪物灾害。,-1,那看来我要为罗德里镇的人消灾解难了。,,,,,,,,,,,,,
89,-1,现在那些水蜘蛛已经无法形成灾祸了。,7,你这是又为了罗德里镇做出来一大贡献，老夫十分感谢你。,,,,,,,,,,,,,,,,,
90,7,现在你可以穿越试炼洞穴，前往巴尔克斯坦了，不过一定要小心，在试炼洞穴中，隐藏着很多可怕的生物。,-1,我需要注意什么吗？,7,……海巨龙！一定要小心他，他是整个试炼山洞中最可怕的生物。,-1,我要是遇到他了，该怎么办？跑吗？,7,呵呵，据老夫所知，没有人能从他的面前逃走的，所以如果遇到他，就拼死一战吧。,,,,,,,,,,,
91,11,站住！你就是奥梅亚斯来的斥候吧！总算让我抓到你了！,-1,我想你误会了，我是#name#，来自聂拉维尔王城的冒险者。,11,哼！别想欺骗我！你这次逃不掉了！,-1,（可恶，该如何解除这种误会呢！）,,,,,,,,,,,,,
92,5,天哪！在科托实验室里有不少宝箱！宝箱里据说是科托收藏的珍贵宝石！咱们把它们都夺走好不好？,-1,这样做太无耻了吧……,5,天哪！那有什么的！来帮帮忙吧！,-1,好吧……我去看看那些宝箱。,,,,,,,,,,,,,
93,-1,真不知道科托知道了自己的宝箱都被我们开了，他会怎么想……,5,天哪！不是我们！明明是你啦！我可没开箱子呀！,-1,喂喂喂！不要这样嘛……,,,,,,,,,,,,,,,
94,5,天哪！最近有人夜里看到科托实验室附近有一个很特别很可怕的僵尸！,-1,别着急，我去探一探究竟。,,,,,,,,,,,,,,,,,
95,-1,那个看来是死灵法师科托特别实验体的僵尸，我已经解决他了。,5,天哪！真是厉害！天哪！,,,,,,,,,,,,,,,,,
96,5,天哪！科托的实验室竟然直接连到了一处地道！这里是个矿脉！是个矿脉！,-1,你都拿走人家的宝石了，就把矿石留给别人吧……,5,天哪！那是矿脉！是矿脉啊！我需要矿石！我需要矿石！,-1,天哪……你还真是贪得无厌……我去帮你看看吧……,,,,,,,,,,,,,
97,-1,矿石……给你……,5,天哪！你竟然真拿到矿石了！你真是太了不起了！,-1,别跟我来这套……,,,,,,,,,,,,,,,
98,7,英雄公会会长艾丽西亚正在寻找水鼠草，那是一种非常珍贵的草药，你应该去帮助她寻找。,-1,英雄公会吗？以后打照面的机会应该会很多，所以确实应该打好交道，那交给我好了。,7,嗯，取得水鼠草后，记得去交给艾丽西亚。,,,,,,,,,,,,,,,
99,-1,我听耶鲁卡夫镇长说，你需要水鼠草？我帮你找到了。,1103,嗯哼，多谢啦，愿我们友谊长存！愿你能多为我使用，嘿嘿！,,,,,,,,,,,,,,,,,
100,1103,嘿嘿，那个传说中的老英雄佩普竟然在找你，连他都需要找你，看来你真的很有价值嘛。,-1,价值……你到底是怎么盘算的……,,,,,,,,,,,,,,,,,
101,-1,佩普老师，您找我？,205,嗯，你总算来了，我这里有一些事情需要你来完成，就把这一切当做通过试炼山洞前的锻炼吧。,,,,,,,,,,,,,,,,,
102,205,在林间走廊，有一些飞行系的怪物，他们骚扰着旅人，这里的士兵拿他们没办法。,-1,但对我来说不是问题，我明白了，佩普老师，就让我为罗德里镇清除这些祸害吧。,205,嗯，这样最好，如果你不完成罗德里居民的需求，就这样走了，那可不是什么英雄所为。,,,,,,,,,,,,,,,
103,-1,佩普老师，那些飞行系的怪物，都被我搞定了。,205,嗯，我就知道你不会让我失望的，干的很好。,,,,,,,,,,,,,,,,,
104,205,去找耶鲁卡夫镇长吧，告诉他，我很认可你的实力，我赞同你穿过试炼山洞。,-1,太好了！多谢您了，佩普老师！,,,,,,,,,,,,,,,,,
105,-1,耶鲁卡夫镇长，佩普老师他让我告诉您，他认可我的实力，说我可以穿过试炼山洞了。,7,那很好，不过你现在可没法穿越试炼山洞，因为这里还有人需要你的帮助。,,,,,,,,,,,,,,,,,
